交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/1/3,TXO,201701,10800,賣權,0,0,0,0,0,1520,0,1130,1940,0,0,
2017/1/3,TXO,201701,11000,買權,0,0,0,0,0,0.1,185,0.1,0.2,0.4,0.1,
2017/1/3,TXO,201701,11000,賣權,0,0,0,0,0,1720,0,1330,2140,0,0,
2017/1/3,TXO,201702,7600,買權,1660,1660,1660,1660,1,1670,1,1630,1700,1660,1300,
2017/1/3,TXO,201702,7600,賣權,1.8,1.8,1.5,1.5,31,1.5,2641,1.4,1.5,25,1.5,
2017/1/3,TXO,201702,7700,買權,0,0,0,0,0,1570,0,1530,1600,0,0,
2017/1/3,TXO,201702,7700,賣權,1.9,1.9,1.9,1.9,2,1.7,438,1.6,1.8,30,1.9,
2017/1/3,TXO,201702,7800,買權,0,0,0,0,0,1470,0,1430,1500,0,0,
2017/1/3,TXO,201702,7800,賣權,2,2,1.4,1.4,6,2.1,835,1.4,1.8,32.5,1.4,
2017/1/3,TXO,201702,7900,買權,0,0,0,0,0,1370,0,1330,1400,0,0,
2017/1/3,TXO,201702,7900,賣權,3.4,3.4,2.1,2.1,49,2.1,485,2.1,2.4,42.5,2.1,
2017/1/3,TXO,201702,8000,買權,0,0,0,0,0,1270,6,1230,1300,1360,650,
2017/1/3,TXO,201702,8000,賣權,3.5,3.6,2.4,2.4,79,2.4,924,2.3,3,51,2.4,
2017/1/3,TXO,201702,8100,買權,0,0,0,0,0,1170,0,1130,1200,0,0,
2017/1/3,TXO,201702,8100,賣權,4,4.5,3.2,3.2,122,3.2,1462,3.2,3.6,61,3.2,
2017/1/3,TXO,201702,8200,買權,0,0,0,0,0,1070,0,1040,1100,0,0,
2017/1/3,TXO,201702,8200,賣權,5.9,5.9,4.5,4.6,51,4.6,2451,4.5,4.7,75,4.5,
2017/1/3,TXO,201702,8300,買權,0,0,0,0,0,975,10,940,1000,1020,925,
2017/1/3,TXO,201702,8300,賣權,8.1,8.1,5.7,6.2,203,6.2,3335,5.7,6.3,89,5.7,
2017/1/3,TXO,201702,8400,買權,0,0,0,0,0,875,0,845,900,0,0,
2017/1/3,TXO,201702,8400,賣權,10.5,12,8.4,8.5,369,8.5,2821,8,8.4,101,8.4,
2017/1/3,TXO,201702,8500,買權,0,0,0,0,0,775,9,750,800,770,630,
2017/1/3,TXO,201702,8500,賣權,14.5,15.5,11,11.5,329,11.5,3484,11,11.5,129,11,
2017/1/3,TXO,201702,8600,買權,0,0,0,0,0,685,12,660,710,790,525,
2017/1/3,TXO,201702,8600,賣權,20,21,15,15,496,15,3354,14.5,15,144,15,
2017/1/3,TXO,201702,8700,買權,0,0,0,0,0,595,9,585,600,685,488,
2017/1/3,TXO,201702,8700,賣權,27,29,21.5,21.5,589,21.5,3002,21,21.5,176,21.5,
2017/1/3,TXO,201702,8800,買權,485,485,480,480,4,500,26,495,505,495,297,
2017/1/3,TXO,201702,8800,賣權,35.5,41.5,29.5,29.5,604,29.5,3056,29,30,220,29.5,
2017/1/3,TXO,201702,8900,買權,385,405,385,400,5,412,37,407,416,550,240,
2017/1/3,TXO,201702,8900,賣權,50,56,41.5,41.5,1248,41.5,2805,41,42,246,41.5,
2017/1/3,TXO,201702,9000,買權,304,324,304,324,11,324,171,324,331,409,182,
2017/1/3,TXO,201702,9000,賣權,69,76,58,59,2952,59,3023,59,60,298,58,
2017/1/3,TXO,201702,9100,買權,240,250,225,250,83,250,428,248,252,338,138,
2017/1/3,TXO,201702,9100,賣權,95,104,83,83,569,83,1515,81,85,311,83,
2017/1/3,TXO,201702,9200,買權,190,190,162,182,160,182,1081,181,186,300,102,
2017/1/3,TXO,201702,9200,賣權,127,141,116,116,474,116,1030,115,116,273,116,
2017/1/3,TXO,201702,9300,買權,128,128,112,125,338,125,1515,125,126,244,65,
2017/1/3,TXO,201702,9300,賣權,158,187,158,158,115,158,728,156,159,280,150,
2017/1/3,TXO,201702,9400,買權,80,80,69,79,341,79,2192,78,80,182,38,
2017/1/3,TXO,201702,9400,賣權,238,244,212,215,72,215,3692,209,214,500,193,
2017/1/3,TXO,201702,9500,買權,46,48.5,40.5,46.5,1145,46.5,4811,47,47.5,133,21.5,
2017/1/3,TXO,201702,9500,賣權,305,305,285,285,7,285,51,279,281,478,246,
2017/1/3,TXO,201702,9600,買權,24.5,25.5,21.5,25.5,1086,25.5,7425,25.5,26,90,11.5,
2017/1/3,TXO,201702,9600,賣權,382,382,382,382,1,358,48,354,361,690,313,
2017/1/3,TXO,201702,9700,買權,12.5,13.5,11,13,1314,13,6000,13,13.5,61,6.5,
2017/1/3,TXO,201702,9700,賣權,462,462,462,462,1,445,9,440,449,640,408,
2017/1/3,TXO,201702,9800,買權,6,6.6,5.7,6,367,6,2861,6.2,6.7,39,3.6,
2017/1/3,TXO,201702,9800,賣權,0,0,0,0,0,540,3,520,565,835,450,
2017/1/3,TXO,201702,9900,買權,3.4,3.7,3.3,3.5,124,3.5,1365,3.2,3.7,23.5,2.5,
2017/1/3,TXO,201702,9900,賣權,0,0,0,0,0,635,5,610,665,930,575,
2017/1/3,TXO,201702,10000,買權,2.9,2.9,2.1,2.1,24,2.1,941,2.1,2.2,14,1.6,
2017/1/3,TXO,201702,10000,賣權,0,0,0,0,0,735,0,710,765,0,0,
2017/1/3,TXO,201702,10200,買權,1.6,1.6,1.6,1.6,20,0.9,509,0.7,1.1,4.8,0.8,
2017/1/3,TXO,201702,10200,賣權,0,0,0,0,0,935,0,910,965,0,0,
2017/1/3,TXO,201702,10400,買權,0.7,0.7,0.7,0.7,2,0.7,463,0.2,0.8,2.3,0.5,
2017/1/3,TXO,201702,10400,賣權,0,0,0,0,0,1130,0,1100,1170,0,0,
2017/1/3,TXO,201702,10600,買權,0.5,0.5,0.5,0.5,10,0.5,38,0,0.5,1.5,0.4,
2017/1/3,TXO,201702,10600,賣權,0,0,0,0,0,1330,0,1300,1370,0,0,
2017/1/3,TXO,201702,10800,買權,0.5,0.5,0.5,0.5,10,0.5,136,0,0.5,0.9,0.4,
2017/1/3,TXO,201702,10800,賣權,0,0,0,0,0,1530,0,1500,1570,0,0,
2017/1/3,TXO,201702,11000,買權,0.5,0.5,0.5,0.5,10,0.5,171,0,0.5,0.7,0.4,
2017/1/3,TXO,201702,11000,賣權,0,0,0,0,0,1730,0,1700,1770,0,0,
2017/1/3,TXO,201703,6600,買權,0,0,0,0,0,2650,3,2620,2690,2510,2290,
2017/1/3,TXO,201703,6600,賣權,2.1,2.1,1.6,1.7,186,1.7,8659,1.6,1.8,148,1.6,
2017/1/3,TXO,201703,6700,買權,0,0,0,0,0,2550,0,2520,2590,0,0,
2017/1/3,TXO,201703,6700,賣權,0,0,0,0,0,1.9,34,1.3,2.1,3.8,2.8,
2017/1/3,TXO,201703,6800,買權,0,0,0,0,0,2450,7,2420,2490,1550,1350,
2017/1/3,TXO,201703,6800,賣權,2.6,2.6,2.6,2.6,1,2.1,2199,1.9,2.3,184,2.6,
2017/1/3,TXO,201703,6900,買權,0,0,0,0,0,2350,0,2320,2390,0,0,
2017/1/3,TXO,201703,6900,賣權,0,0,0,0,0,2.2,30,1.7,2.5,3.8,3.4,
2017/1/3,TXO,201703,7000,買權,0,0,0,0,0,2250,0,2220,2290,0,0,
2017/1/3,TXO,201703,7000,賣權,2,3.3,1.9,2.3,38,2.3,2625,2.2,2.7,223,1.6,
2017/1/3,TXO,201703,7100,買權,0,0,0,0,0,2150,0,2120,2190,0,0,
2017/1/3,TXO,201703,7100,賣權,2.3,2.7,2.3,2.7,30,2.4,84,2,2.9,4.9,2.3,
2017/1/3,TXO,201703,7200,買權,0,0,0,0,0,2050,0,2020,2090,0,0,
2017/1/3,TXO,201703,7200,賣權,2,3,2,2.5,65,2.5,1666,2.4,2.5,264,2,
2017/1/3,TXO,201703,7300,買權,0,0,0,0,0,1950,0,1920,1990,0,0,
2017/1/3,TXO,201703,7300,賣權,2.9,3.5,2.7,2.7,12,2.7,42,2.2,3.1,6.1,2.7,
2017/1/3,TXO,201703,7400,買權,0,0,0,0,0,1850,0,1820,1890,0,0,
2017/1/3,TXO,201703,7400,賣權,3.4,4,3,3,41,3,1646,2.8,3.5,299,3,
2017/1/3,TXO,201703,7500,買權,0,0,0,0,0,1750,0,1720,1790,0,0,
2017/1/3,TXO,201703,7500,賣權,4.7,4.7,3.3,3.5,65,3.5,168,3.1,4,8.9,3.3,
2017/1/3,TXO,201703,7600,買權,0,0,0,0,0,1660,7,1620,1690,1420,900,
2017/1/3,TXO,201703,7600,賣權,6,6,3.9,4.1,172,4.1,2373,4,4.7,360,3.9,
2017/1/3,TXO,201703,7700,買權,0,0,0,0,0,1560,0,1520,1590,0,0,
2017/1/3,TXO,201703,7700,賣權,6.7,6.7,4.8,4.9,278,4.9,357,4.4,5.6,12,4.8,
2017/1/3,TXO,201703,7800,買權,0,0,0,0,0,1460,2,1420,1490,770,630,
2017/1/3,TXO,201703,7800,賣權,8.6,8.7,5.9,5.9,470,5.9,1358,5.7,7.1,450,5.9,
2017/1/3,TXO,201703,7900,買權,0,0,0,0,0,1360,0,1320,1380,0,0,
2017/1/3,TXO,201703,7900,賣權,9.9,10.5,7.2,7.2,277,7.2,365,6.7,7.8,18,7.2,
2017/1/3,TXO,201703,8000,買權,0,0,0,0,0,1260,33,1230,1390,1500,500,
2017/1/3,TXO,201703,8000,賣權,12,12,9.5,9.6,249,9.6,2576,9.2,9.6,555,9.5,
2017/1/3,TXO,201703,8100,買權,0,0,0,0,0,1160,0,1130,1200,0,0,
2017/1/3,TXO,201703,8100,賣權,14,14,12,12,14,12,193,11.5,12.5,26,12,
2017/1/3,TXO,201703,8200,買權,1050,1050,1050,1050,1,1070,33,1040,1090,1050,375,
2017/1/3,TXO,201703,8200,賣權,18,18,14,14,39,14,1718,13,15.5,550,14,
2017/1/3,TXO,201703,8300,買權,0,0,0,0,0,970,2,940,995,900,900,
2017/1/3,TXO,201703,8300,賣權,22,23,18.5,18.5,35,18.5,421,17.5,18.5,39.5,18.5,
2017/1/3,TXO,201703,8400,買權,0,0,0,0,0,875,60,850,885,1010,294,
2017/1/3,TXO,201703,8400,賣權,28.5,29.5,23.5,23.5,502,23.5,2118,23,23.5,660,23.5,
2017/1/3,TXO,201703,8500,買權,0,0,0,0,0,785,2,755,820,720,655,
2017/1/3,TXO,201703,8500,賣權,36.5,37.5,31,31.5,103,31.5,346,29,31,62,31,
2017/1/3,TXO,201703,8600,買權,0,0,0,0,0,690,127,665,700,830,210,
2017/1/3,TXO,201703,8600,賣權,43,48,38,38,104,38,2097,37,39,800,38,
2017/1/3,TXO,201703,8700,買權,0,0,0,0,0,605,18,575,615,570,482,
2017/1/3,TXO,201703,8700,賣權,57,60,50,51,100,51,431,47.5,53,96,50,
2017/1/3,TXO,201703,8800,買權,500,510,500,510,3,515,465,515,530,645,140,
2017/1/3,TXO,201703,8800,賣權,76,76,62,63,80,63,3366,62,67,840,62,
2017/1/3,TXO,201703,8900,買權,0,0,0,0,0,436,12,427,445,426,317,
2017/1/3,TXO,201703,8900,賣權,96,97,79,79,90,79,1768,78,83,149,79,
2017/1/3,TXO,201703,9000,買權,350,350,340,345,5,356,796,356,362,492,102,
2017/1/3,TXO,201703,9000,賣權,120,125,103,103,405,103,2284,102,108,1030,103,
2017/1/3,TXO,201703,9100,買權,278,278,278,278,1,288,95,282,296,282,195,
2017/1/3,TXO,201703,9100,賣權,144,151,133,135,8,135,46,132,136,227,133,
2017/1/3,TXO,201703,9200,買權,220,224,210,224,21,224,2515,221,233,350,80,
2017/1/3,TXO,201703,9200,賣權,184,196,180,180,26,172,1004,169,174,1180,178,
2017/1/3,TXO,201703,9300,買權,158,168,156,168,34,168,202,164,175,168,105,
2017/1/3,TXO,201703,9300,賣權,235,235,220,220,3,220,57,208,221,316,220,
2017/1/3,TXO,201703,9400,買權,122,122,115,122,92,122,3694,122,127,245,52,
2017/1/3,TXO,201703,9400,賣權,295,295,282,282,43,269,229,262,270,1260,253,
2017/1/3,TXO,201703,9500,買權,83,83,76,82,169,82,2208,83,86,88,48.5,
2017/1/3,TXO,201703,9500,賣權,335,335,335,335,1,329,1,322,339,335,335,
2017/1/3,TXO,201703,9600,買權,53,56,51,56,97,56,4673,55,57,170,32,
2017/1/3,TXO,201703,9600,賣權,420,420,410,410,3,403,17,394,408,790,410,
2017/1/3,TXO,201703,9700,買權,36,36,33,36,101,36,731,36,38,42,21,
2017/1/3,TXO,201703,9700,賣權,0,0,0,0,0,482,0,472,492,0,0,
2017/1/3,TXO,201703,9800,買權,22,23,20.5,22.5,124,22.5,5344,22.5,23,111,14,
2017/1/3,TXO,201703,9800,賣權,0,0,0,0,0,570,6,555,575,955,500,
2017/1/3,TXO,201703,9900,買權,13.5,14,13,13.5,131,13.5,826,13.5,14,19,9.2,
2017/1/3,TXO,201703,9900,賣權,0,0,0,0,0,660,0,650,690,0,0,
2017/1/3,TXO,201703,10000,買權,9.5,9.7,8.7,9.7,106,9.7,4101,9,11,70,6.8,
2017/1/3,TXO,201703,10000,賣權,0,0,0,0,0,755,2,745,780,1030,660,
2017/1/3,TXO,201703,10200,買權,4.2,4.2,3.7,3.8,172,3.8,215,3.8,4.3,5.7,3.4,
2017/1/3,TXO,201703,10200,賣權,0,0,0,0,0,950,0,920,980,0,0,
2017/1/3,TXO,201703,10400,買權,2.6,2.6,2.6,2.6,1,2.6,3502,1.8,2.6,101,2.2,
2017/1/3,TXO,201703,10400,賣權,0,0,0,0,0,1150,0,1110,1180,0,0,
2017/1/3,TXO,201703,10600,買權,0,0,0,0,0,1.8,100,1.3,2.2,1.8,1.4,
2017/1/3,TXO,201703,10600,賣權,0,0,0,0,0,1350,0,1310,1380,0,0,
2017/1/3,TXO,201703,10800,買權,0,0,0,0,0,1.4,2022,1,1.8,14,1.6,
2017/1/3,TXO,201703,10800,賣權,0,0,0,0,0,1550,0,1510,1580,0,0,
2017/1/3,TXO,201703,11000,買權,0,0,0,0,0,1.1,0,0.7,1.5,0,0,
2017/1/3,TXO,201703,11000,賣權,0,0,0,0,0,1750,0,1710,1780,0,0,
2017/1/3,TXO,201703,11200,買權,0.8,0.8,0.8,0.8,1,0.8,3030,0.4,1.1,15,0.8,
2017/1/3,TXO,201703,11200,賣權,0,0,0,0,0,1950,0,1910,1980,0,0,
2017/1/3,TXO,201703,11400,買權,0,0,0,0,0,0.5,0,0.2,0.8,0,0,
