Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,openposition,change_openposition
2002/1/28,5979,6035,5960,6029,5872.4,5712.9,5698,5085.3,11702,18018,15514,171.53,163.48,8.04,0.75,0.64,0.79,0.69,9247,479
2002/1/29,6008,6013,5812,5820,5875.6,5735.9,5709.1,5115.13,15328,17472,16158,167.65,164.32,3.34,0.71,0.66,0.53,0.58,9760,513
2002/1/30,5735,5818,5720,5815,5883.6,5771.4,5720.6,5145.55,13052,15388,17017,156.79,162.81,-6.02,0.67,0.67,0.53,0.57,10678,918
2002/1/31,5828,5860,5761,5831,5889.8,5809.5,5739,5175.07,14614,14656,17056,148.78,160,-11.23,0.65,0.66,0.55,0.58,11088,410
2002/2/1,5895,5910,5820,5858,5870.6,5851,5750.15,5205.37,13574,13654,16515,144.06,156.81,-12.76,0.56,0.63,0.57,0.59,11402,314
2002/2/4,5811,5870,5782,5838,5832.4,5852.4,5751.2,5235.67,10370,13388,15703,136.37,152.72,-16.36,0.49,0.58,0.54,0.58,11293,-109
2002/2/5,5762,5884,5751,5884,5845.2,5860.4,5754.65,5265.32,8991,12120,14796,130.28,148.24,-17.95,0.51,0.56,0.6,0.6,10063,-1230
2002/2/6,5899,5985,5880,5969,5876,5879.8,5760.15,5297.13,12373,11984,13686,132.01,144.99,-12.98,0.6,0.57,0.69,0.64,7839,-2224
2002/2/18,6022,6041,5946,5956,5901,5895.4,5766.5,5325.9,6555,10373,12514,133.77,142.75,-8.98,0.65,0.6,0.66,0.63,7070,-769
2002/2/19,5966,5980,5823,5825,5894.4,5882.5,5775.75,5350.48,5563,8770,11212,124.73,139.14,-14.41,0.54,0.58,0.45,0.54,4418,-2652
2002/2/20,5798,5815,5679,5685,5863.8,5848.1,5780.5,5371.35,3461,7389,10388,104.48,132.21,-27.73,0.37,0.51,0.32,0.46,2134,-2284
2002/2/21,5725,5725,5596,5656,5818.2,5831.7,5783.8,5389.2,12795,8149,10135,82.82,122.33,-39.51,0.29,0.43,0.3,0.45,8985,6851
2002/2/22,5585,5643,5542,5620,5748.4,5812.2,5791.8,5408.8,11520,7979,9982,60.75,110.02,-49.26,0.24,0.37,0.27,0.43,9455,470
2002/2/25,5632,5650,5503,5522,5661.6,5781.3,5795.4,5424.83,10776,8823,9598,38.23,95.66,-57.43,0.17,0.31,0.21,0.38,9811,356
2002/2/26,5581,5618,5483,5529,5602.4,5748.4,5799.7,5443.17,13586,10428,9599,19.39,80.4,-61.02,0.14,0.25,0.22,0.39,10051,240
2002/2/27,5529,5705,5529,5700,5605.4,5734.6,5793.5,5463.18,15385,12812,10101,13.88,67.1,-53.22,0.23,0.24,0.5,0.5,9823,-228
2002/3/1,5679,5700,5625,5650,5604.2,5711.2,5785.8,5480.48,13275,12908,10529,9.22,55.52,-46.3,0.25,0.25,0.45,0.47,11198,1375
2002/3/4,5773,5940,5773,5910,5662.2,5705.3,5792.55,5503.4,17472,14099,11039,23.58,49.13,-25.56,0.45,0.31,0.68,0.6,10507,-691
2002/3/5,5999,6028,5882,5964,5750.6,5706.1,5800.75,5529.63,15421,15028,11925,40.64,47.43,-6.8,0.6,0.41,0.71,0.62,10475,-32
2002/3/6,5958,6126,5923,6120,5868.8,5735.6,5809.05,5558.18,17052,15721,13074,62.54,50.46,12.08,0.73,0.52,0.78,0.67,10830,355
2002/3/7,6138,6149,6052,6080,5944.8,5775.1,5811.6,5586.35,14191,15482,14147,80.42,56.45,23.97,0.78,0.6,0.72,0.64,11044,214
2002/3/8,6060,6145,5974,6041,6023,5813.6,5822.65,5610.55,16795,16186,14547,90.32,63.22,27.1,0.8,0.67,0.67,0.62,11257,213
2002/3/11,6071,6215,6051,6190,6079,5870.6,5841.4,5634.7,17026,16097,15098,105.92,71.76,34.16,0.86,0.73,0.75,0.67,10953,-304
2002/3/12,6180,6180,6072,6120,6110.2,5930.4,5855.85,5654.87,13902,15793,15411,113.87,80.18,33.68,0.86,0.77,0.66,0.63,10777,-176
2002/3/13,6082,6196,6044,6080,6102.2,5985.5,5866.95,5668.65,19541,16291,16006,116.96,87.54,29.42,0.83,0.79,0.61,0.6,11043,266
2002/3/14,6040,6105,5985,6105,6107.2,6026,5880.3,5680.93,14467,16346,15914,116.06,93.24,22.82,0.8,0.8,0.63,0.61,10667,-376
2002/3/15,6072,6119,5900,5904,6079.8,6051.4,5881.3,5691.13,17941,16575,16381,104.59,95.51,9.08,0.56,0.72,0.41,0.5,9518,-1149
2002/3/18,5930,5955,5883,5948,6031.4,6055.2,5880.25,5701.97,9746,15119,15608,92.57,94.92,-2.36,0.44,0.62,0.46,0.52,8147,-1371
2002/3/19,5941,5970,5858,5902,5987.8,6049,5877.55,5706.18,5843,13508,14650,80.05,91.95,-11.9,0.33,0.53,0.41,0.5,5413,-2734
2002/3/20,5905,6089,5891,6074,5986.6,6044.4,5890,5717,4264,10452,13372,79.23,89.41,-10.18,0.42,0.49,0.59,0.58,2375,-3038
2002/3/21,6002,6086,5980,6049,5975.4,6041.3,5908.2,5725.32,16203,10799,13573,78.4,87.2,-8.81,0.46,0.48,0.56,0.56,9803,7428
2002/3/22,6138,6185,6108,6155,6025.6,6052.7,5933.15,5737.02,14993,10210,13393,85.61,86.89,-1.28,0.6,0.52,0.65,0.61,9767,-36
2002/3/25,6151,6209,6105,6170,6070,6050.7,5960.65,5750.52,14498,11160,13140,91.3,87.77,3.53,0.7,0.58,0.66,0.61,10673,906
2002/3/26,6141,6220,6125,6208,6131.2,6059.5,5994.95,5767.27,13230,12638,13073,96.85,89.59,7.27,0.79,0.65,0.69,0.63,11480,807
2002/3/27,6220,6243,6081,6085,6133.4,6060,6022.75,5780.6,19066,15598,13025,94.77,90.62,4.15,0.72,0.67,0.51,0.55,11581,101
2002/3/28,6099,6140,6063,6130,6149.6,6062.5,6044.25,5798.68,15698,15497,13148,91.45,90.79,0.66,0.72,0.69,0.56,0.57,12609,1028
2002/3/29,6170,6179,6085,6145,6147.6,6086.6,6069,5815.92,14768,15452,12831,89.61,90.55,-0.94,0.73,0.7,0.58,0.58,13429,820
2002/4/1,6103,6161,6095,6105,6134.6,6102.3,6078.75,5827.67,9355,14423,12792,85.4,89.52,-4.12,0.69,0.7,0.51,0.55,13824,395
2002/4/2,6155,6272,6154,6223,6137.6,6134.4,6091.7,5841.8,16303,15038,13838,89.22,89.46,-0.24,0.74,0.71,0.65,0.61,13606,-218
2002/4/3,6181,6261,6161,6261,6172.8,6153.1,6098.75,5858.12,13517,13928,14763,92.64,90.1,2.54,0.81,0.74,0.69,0.63,13536,-70
2002/4/4,6231,6237,6115,6152,6177.2,6163.4,6102.35,5870.65,15779,13944,14721,88.51,89.78,-1.27,0.68,0.72,0.51,0.55,12960,-576
2002/4/8,6132,6160,6095,6119,6172,6159.8,6106.25,5879.33,10674,13126,14289,81.02,88.03,-7.01,0.54,0.66,0.47,0.53,13001,41
2002/4/9,6167,6177,6033,6041,6159.2,6146.9,6098.8,5886.93,16217,14498,14461,70.22,84.47,-14.25,0.37,0.56,0.38,0.48,11978,-1023
2002/4/10,5999,6025,5972,6025,6119.6,6128.6,6094.05,5896.3,10820,13401,14220,56.07,78.79,-22.72,0.31,0.48,0.36,0.47,12112,134
2002/4/11,6047,6069,6015,6032,6073.8,6123.3,6091.65,5902.92,10377,12773,13351,46.36,72.3,-25.94,0.27,0.41,0.38,0.48,13097,985
2002/4/12,5990,6172,5975,6158,6075,6126.1,6094.3,5908.6,14989,12615,13280,44.51,66.75,-22.23,0.39,0.4,0.58,0.56,10704,-2393
2002/4/15,6164,6220,6147,6179,6087,6129.5,6108.05,5914.67,8364,12153,12640,47.78,62.95,-15.18,0.49,0.43,0.61,0.57,9056,-1648
2002/4/16,6190,6249,6180,6231,6125,6142.1,6122.2,5920.87,5304,9971,12234,53.1,60.98,-7.88,0.62,0.5,0.67,0.6,6834,-2222
2002/4/17,6385,6450,6328,6450,6210,6164.8,6149.6,5931.22,4979,8803,11102,72.36,63.26,9.1,0.75,0.58,0.82,0.7,4106,-2728
2002/4/18,6360,6375,6330,6360,6275.6,6174.7,6163.9,5943.22,9143,8556,10665,81.58,66.92,14.66,0.77,0.64,0.67,0.63,10894,6788
2002/4/19,6341,6407,6331,6398,6323.6,6199.3,6181.35,5956.68,10000,7558,10087,90.05,71.55,18.5,0.81,0.7,0.7,0.65,11377,483
2002/4/22,6408,6410,6356,6410,6369.8,6228.4,6194.1,5970.35,7571,7399,9776,96.7,76.58,20.12,0.85,0.75,0.71,0.65,11611,234
2002/4/23,6379,6389,6315,6345,6392.6,6258.8,6202.85,5985.1,9960,8331,9151,96.97,80.66,16.32,0.82,0.77,0.59,0.6,11390,-221
2002/4/24,6318,6423,6318,6420,6386.6,6298.3,6213.45,6001.27,12285,9792,9297,99.81,84.49,15.32,0.86,0.8,0.67,0.64,11999,609
2002/4/25,6387,6387,6302,6318,6378.2,6326.9,6225.1,6015.85,13900,10743,9650,95.8,86.75,9.05,0.76,0.79,0.51,0.56,11184,-815
2002/4/26,6309,6328,6262,6308,6360.2,6341.9,6234,6023.92,9162,10576,9067,89.18,87.24,1.95,0.67,0.75,0.5,0.55,10474,-710
2002/4/29,6251,6258,6172,6172,6312.6,6341.2,6235.35,6030.05,11462,11354,9377,74.37,84.66,-10.29,0.44,0.65,0.35,0.47,10267,-207
2002/4/30,6172,6196,6056,6100,6263.6,6328.1,6235.1,6035.47,10990,11560,9945,55.5,78.83,-23.33,0.34,0.54,0.29,0.43,11549,1282
2002/5/2,6117,6134,5860,5883,6156.2,6271.4,6218.1,6036.85,14670,12037,10914,26.28,68.32,-42.04,0.24,0.44,0.18,0.34,12164,615
2002/5/3,5841,5944,5775,5916,6075.8,6227,6200.85,6036.22,15333,12323,11533,-1.09,54.44,-55.52,0.23,0.37,0.23,0.36,12619,455
