Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2003/11/4,6170,6188,6124,6144,6120.57,6087.2,0.81,34.9,35.51,-0.6,0.74,0.7,0.63,0.64,39677,1203
2003/11/5,6129,6190,6112,6165,6135.38,6101.34,0.89,34.7,35.24,-0.54,0.79,0.73,0.66,0.66,40012,335
2003/11/6,6181,6185,5734,5975,6081.92,6078.37,0.52,14.89,28.46,-13.56,0.7,0.72,0.35,0.47,40387,375
2003/11/7,6035,6064,5992,6059,6074.28,6074.85,0.71,9.08,22,-12.92,0.7,0.71,0.48,0.54,39196,-1191
2003/11/10,6032,6087,6010,6049,6065.85,6070.15,0.68,5.55,16.52,-10.96,0.7,0.71,0.47,0.53,40055,859
2003/11/11,6021,6046,5993,6040,6057.24,6064.67,0.67,1.27,11.43,-10.16,0.69,0.7,0.45,0.52,41674,1619
2003/11/12,6030,6060,6005,6009,6041.16,6054.55,0.6,-2.36,6.83,-9.2,0.66,0.69,0.41,0.49,42366,692
2003/11/13,6070,6088,6047,6072,6051.44,6057.72,0.74,0.14,4.6,-4.47,0.69,0.69,0.53,0.55,40280,-2086
2003/11/14,6068,6078,6033,6058,6053.63,6057.77,0.71,0.47,3.22,-2.76,0.69,0.69,0.5,0.53,37903,-2377
2003/11/17,6018,6018,5960,5978,6028.42,6043.27,0.54,-6.39,0.02,-6.41,0.64,0.67,0.37,0.46,32727,-5176
2003/11/18,5978,5994,5944,5985,6013.94,6032.67,0.56,-11.11,-3.69,-7.42,0.61,0.65,0.39,0.47,24770,-7957
2003/11/19,5900,5929,5841,5865,5964.3,6002.19,0.1,-23.49,-10.29,-13.2,0.44,0.58,0.25,0.38,13724,-11046
2003/11/20,5915,5932,5883,5898,5942.2,5983.24,0.23,-27.78,-16.12,-11.66,0.37,0.51,0.33,0.41,43880,30156
2003/11/21,5852,5875,5811,5862,5915.47,5961.2,0.18,-34.26,-22.17,-12.09,0.31,0.44,0.29,0.39,45912,2032
2003/11/24,5845,5869,5835,5850,5893.64,5940.98,0.14,-37.2,-27.18,-10.02,0.25,0.38,0.27,0.38,46149,237
2003/11/25,5924,5934,5882,5888,5891.76,5931.35,0.28,-33.12,-29.16,-3.96,0.26,0.34,0.38,0.42,42846,-3303
2003/11/26,5897,5915,5885,5904,5895.84,5926.38,0.35,-28.87,-29.06,0.19,0.29,0.32,0.43,0.44,41907,-939
2003/11/27,5895,5896,5800,5818,5869.89,5906.67,0.08,-31.69,-29.94,-1.76,0.22,0.29,0.29,0.37,45906,3999
2003/11/28,5828,5858,5793,5808,5849.26,5888.73,0.07,-33.83,-31.24,-2.6,0.17,0.25,0.28,0.37,44684,-1222
2003/12/1,5781,5916,5775,5914,5870.84,5893.33,0.87,-27.83,-30.1,2.27,0.41,0.3,0.53,0.48,41374,-3310
2003/12/2,5938,5948,5904,5930,5890.56,5899.99,0.9,-18.31,-26.17,7.86,0.57,0.39,0.56,0.5,41004,-370
2003/12/3,5922,5940,5890,5908,5896.37,5901.45,0.77,-13.15,-21.83,8.68,0.64,0.47,0.51,0.47,41588,584
2003/12/4,5900,5935,5887,5934,5908.92,5907.37,0.92,-8.32,-17.33,9.01,0.73,0.56,0.56,0.5,40284,-1304
2003/12/5,5928,5932,5892,5904,5907.28,5906.76,0.75,-6.32,-13.66,7.34,0.74,0.62,0.49,0.47,39438,-846
2003/12/8,5864,5870,5836,5847,5887.18,5895.89,0.42,-10.39,-12.57,2.18,0.63,0.62,0.37,0.42,39442,4
2003/12/9,5867,5884,5840,5873,5882.46,5891.73,0.57,-10.89,-12.01,1.12,0.61,0.62,0.44,0.45,39495,53
2003/12/10,5820,5835,5800,5830,5864.97,5880.51,0.32,-14.99,-13,-1.99,0.51,0.58,0.36,0.41,38455,-1040
2003/12/11,5840,5890,5833,5890,5873.31,5882.23,0.66,-12.02,-12.67,0.65,0.56,0.58,0.51,0.48,37288,-1167
2003/12/12,5938,5938,5881,5885,5877.21,5882.73,0.57,-7.6,-10.98,3.38,0.57,0.57,0.5,0.47,32767,-4521
2003/12/15,5930,5968,5902,5968,5907.47,5898.24,1,0.71,-7.09,7.79,0.71,0.62,0.66,0.56,24204,-8563
2003/12/16,5892,5920,5884,5901,5905.32,5898.74,0.6,1.15,-4.34,5.49,0.67,0.64,0.5,0.49,17868,-6336
2003/12/17,5905,5920,5735,5750,5853.54,5871.7,0.06,-9.46,-6.05,-3.41,0.47,0.58,0.31,0.38,10368,-7500
2003/12/18,5785,5810,5761,5780,5829.03,5855.02,0.19,-16.4,-9.5,-6.9,0.38,0.51,0.37,0.41,40579,30211
2003/12/19,5811,5827,5752,5800,5819.35,5845.02,0.28,-19.03,-12.68,-6.35,0.35,0.46,0.41,0.43,40190,-389
2003/12/22,5810,5864,5796,5838,5825.57,5843.74,0.44,-16.18,-13.85,-2.34,0.38,0.43,0.48,0.46,38840,-1350
2003/12/23,5850,5854,5825,5838,5829.71,5842.7,0.44,-13.3,-13.66,0.36,0.4,0.42,0.48,0.46,39300,460
2003/12/24,5845,5900,5841,5864,5841.14,5846.57,0.55,-8.22,-11.85,3.63,0.45,0.43,0.54,0.49,39383,83
2003/12/25,5860,5891,5845,5860,5847.43,5849.01,0.54,-4.99,-9.56,4.57,0.48,0.45,0.53,0.49,40727,1344
2003/12/26,5870,5882,5836,5867,5853.95,5852.28,0.71,-2.85,-7.33,4.48,0.56,0.48,0.55,0.49,41362,635
2003/12/29,5870,5888,5827,5836,5847.97,5849.32,0.55,-2.94,-5.86,2.92,0.55,0.51,0.45,0.46,42766,1404
