date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2014/3/10,put,8706.43,8712.88,8665.24,8706.43,8747.62,8157.29,0.967065002193
2014/3/11,put,8694.96,8716.31,8702.33,8694.96,8687.59,8149.92,0.966191272184
2014/3/12,put,8671.4,8684.73,8684.73,8671.4,8658.07,8136.59,0.964610970824
2014/3/13,put,8737.81,8768.66,8747.79,8737.81,8727.83,8126.61,0.963427819469
2014/3/14,put,8697.73,8709.56,8687.63,8697.73,8707.83,8136.71,0.964625197093
2014/3/17,put,8697.26,8708.4,8700.1,8697.26,8694.42,8133.87,0.964288508731
2014/3/18,put,8747.38,8759.55,8731.94,8747.38,8762.82,8149.31,0.966118955318
2014/3/19,put,8745.02,8749.8,8689.46,8745.02,8800.58,8204.87,0.972705717775
2014/3/20,put,8638.59,8638.59,8597.33,8638.59,8679.85,8246.13,0.977597183199
2014/3/21,put,8642.82,8642.82,8577.17,8642.82,8708.47,8311.78,0.985380137758
2014/3/24,put,8540.27,8605.38,8605.38,8540.27,8475.16,8246.67,0.977661201408
2014/3/25,put,8589.19,8689.3,8689.3,8589.19,8489.08,8146.56,0.965792936658
2014/3/26,put,8741.03,8746.71,8737.27,8741.03,8744.79,8150.32,0.96623869308
2014/3/27,put,8737.56,8780.42,8779.57,8737.56,8695.55,8108.31,0.961258313476
2014/3/28,put,8779.91,8812.41,8774.64,8779.91,8785.18,8113.58,0.961883083781
2014/3/31,put,8802.93,8849.28,8849.28,8802.93,8756.58,8067.23,0.956388187455
2014/4/1,put,8847.34,8873.15,8873.15,8847.34,8821.53,8041.42,0.953328354139
2014/4/2,put,8906.52,8922.79,8905.45,8906.52,8907.59,8042.49,0.953455205036
2014/4/3,put,8902.94,8913.74,8888.54,8902.94,8917.34,8056.89,0.955162357293
2014/4/7,put,8844.91,8876.44,8876.44,8844.91,8813.38,8025.36,0.951424405164
2014/4/8,put,8878.88,8899.12,8888.25,8878.88,8869.51,8015.99,0.950313570675
2014/4/9,put,8912.39,8936.57,8930.57,8912.39,8894.21,7997.81,0.948158290951
2014/4/10,put,8964.34,8978.52,8948.1,8964.34,8980.58,8014.05,0.950083579329
2014/4/11,put,8900.13,8909.97,8908.05,8900.13,8892.21,8006.13,0.949144645588
2014/4/14,put,8897.23,8899.51,8857.42,8897.23,8937.04,8045.94,0.953864210264
2014/4/15,put,8898.65,8918.94,8916.71,8898.65,8880.59,8027.88,0.951723156809
2014/4/16,put,8921.07,8968.56,8923.82,8921.07,8918.32,8025.13,0.951397138149
2014/4/17,put,8942.23,8962.66,8944.16,8942.23,8940.3,8023.2,0.951168332326
2014/4/18,put,8994.77,9002.7,8966.66,8994.77,9022.88,8051.31,0.954500835793
2014/4/21,put,8961.52,8965.58,8951.19,8961.52,8971.85,8061.64,0.955725480433
2014/4/22,put,8956.22,8989.06,8974.71,8956.22,8937.73,8043.15,0.953533449515
2014/4/23,put,9009.59,9022.28,8956.92,9009.59,9062.26,8095.82,0.959777595998
2014/4/24,put,8968.82,8971.94,8945.45,8968.82,8992.19,8119.19,0.962548161848
