Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
2011/5/24,8730.23,8756.9,8673.38,8756.61,8835.77,8903.54,8951.47,8761.97,929.46,974.35,1017.04,-3.7,35.6,-39.3,0.2049,0.2766,0.2408,0.372,62116,-263
2011/5/25,8732.3,8763.64,8682.49,8727.09,8792.22,8874.2,8940.42,8765.06,896.28,977.2,1001.29,-16.03,25.28,-41.3,0.183,0.2454,0.2135,0.352,61175,-941
2011/5/26,8797.29,8807.08,8751.52,8788.4,8771.33,8849.68,8927.38,8768.21,875.35,922.62,977.63,-20.81,16.06,-36.87,0.2307,0.2405,0.3867,0.4221,60118,-1057
2011/5/27,8806.29,8860.03,8803.59,8810,8765.92,8830.02,8915.84,8769.58,986.27,925.33,958.87,-21.37,8.57,-29.94,0.2829,0.2546,0.4389,0.4452,59346,-772
2011/5/30,8757.66,8844.03,8748.13,8823.68,8781.16,8821.21,8906.63,8772.98,887.66,915,952.77,-22.44,2.37,-24.81,0.3306,0.2799,0.473,0.4601,59937,591
2011/5/31,8860.58,9003.6,8860.58,8988.84,8827.6,8831.69,8908.77,8777.15,1334.51,996.01,985.18,-11.01,-0.31,-10.71,0.5184,0.3594,0.7198,0.6011,65861,5924
2011/6/1,8999.84,9089.47,8999.84,9062.35,8894.65,8843.44,8914.52,8781.79,1327.71,1082.3,1029.75,5.49,0.85,4.64,0.6572,0.4587,0.7758,0.646,69013,3152
2011/6/2,8981.71,9036.27,8977.67,8991.36,8935.25,8853.29,8913.15,8786.41,1121.78,1131.59,1027.11,14.02,3.48,10.53,0.6929,0.5368,0.6298,0.5775,71546,2533
2011/6/3,9024.54,9052.18,8997.35,9046.28,8982.5,8874.21,8916.61,8791.39,927.37,1119.81,1022.57,23.44,7.48,15.97,0.7607,0.6114,0.6849,0.6122,72940,1394
2011/6/7,9025.21,9059.19,8981.44,9057.1,9029.19,8905.17,8917.69,8796.51,912.85,1124.85,1019.92,30.81,12.14,18.67,0.8139,0.6789,0.6956,0.619,73349,409
2011/6/8,9044.85,9070.25,9007.53,9007.53,9032.92,8930.26,8916.9,8802.58,929.82,1043.91,1019.96,35,16.71,18.29,0.7959,0.7179,0.5861,0.5696,69076,-4273
2011/6/9,9020.6,9045.44,8996.08,9000.94,9020.64,8957.65,8915.93,8809.8,810.46,940.46,1011.38,36.9,20.75,16.14,0.7775,0.7378,0.5718,0.5631,69650,574
2011/6/10,9042.35,9053.39,8837.82,8837.82,8989.93,8962.59,8906.13,8815.1,1131.26,942.35,1036.97,28.46,22.29,6.16,0.6059,0.6938,0.331,0.4302,60185,-9465
2011/6/13,8791.67,8811.97,8703.52,8712.95,8923.27,8952.89,8891.45,8823.07,996.4,956.16,1037.98,9.05,19.64,-10.6,0.4121,0.5999,0.2387,0.3594,52308,-7877
2011/6/14,8737.24,8836.51,8737.24,8829.21,8877.69,8953.44,8887.33,8831.48,908.22,955.23,1040.04,-0.46,15.62,-16.09,0.3833,0.5277,0.4196,0.4512,35654,-16654
2011/6/15,8833.86,8876.14,8733.6,8831.45,8842.47,8937.7,8884.69,8840.62,1284.76,1026.22,1035.06,-7.1,11.08,-18.18,0.3718,0.4757,0.4227,0.4528,26535,-9119
2011/6/16,8739.84,8739.84,8654.43,8654.43,8773.17,8896.91,8870.17,8844.95,1075.67,1079.26,1009.86,-23.58,4.14,-27.73,0.2479,0.3998,0.2785,0.3597,49136,22601
2011/6/17,8671.45,8702,8618.85,8636.1,8732.83,8861.38,8857.33,8847.76,1121.47,1077.31,1009.83,-38.42,-4.37,-34.05,0.178,0.3258,0.2671,0.3516,52677,3541
2011/6/20,8679.15,8685.33,8518.66,8530.68,8696.37,8809.82,8842.02,8848.14,953.38,1068.7,1012.43,-56.14,-14.72,-41.42,0.1259,0.2592,0.2086,0.3077,54459,1782
2011/6/21,8571.93,8617.96,8523.04,8597.62,8650.06,8763.87,8834.52,8849.01,1025.69,1092.2,1023.71,-67.97,-25.37,-42.6,0.1332,0.2172,0.3218,0.3628,56003,1544
2011/6/22,8663.86,8679.37,8598.08,8621.04,8607.97,8725.22,8827.74,8849.76,1022.99,1039.84,1033.03,-72.81,-34.86,-37.95,0.1526,0.1957,0.3603,0.3815,55203,-800
2011/6/23,8601.15,8619.39,8559.33,8567.28,8590.54,8681.86,8819.75,8849.04,941.49,1013,1046.13,-79.89,-43.87,-36.02,0.1471,0.1795,0.3116,0.3553,56463,1260
2011/6/24,8567.46,8569.59,8508.16,8532.83,8569.89,8651.36,8806.97,8848.7,947.59,978.23,1027.77,-87.91,-52.67,-35.23,0.1204,0.1598,0.2823,0.3391,61445,4982
2011/6/27,8456.36,8519.21,8433.46,8500.16,8563.79,8630.08,8791.48,8847.09,925.04,972.56,1020.63,-96.99,-61.54,-35.45,0.1305,0.15,0.255,0.3237,60721,-724
2011/6/28,8536.13,8572.62,8478.69,8478.86,8540.03,8595.05,8774.24,8844.3,864.98,940.42,1016.31,-101.88,-69.6,-32.27,0.1364,0.1455,0.2371,0.3136,60896,175
