date,dateline,strike_price,callorput,open,high,close
2016/1/4,201609,7400,put,340,340,340
2016/1/4,201609,7600,call,610,610,610
2016/1/4,201609,7600,put,401,401,401
2016/1/4,201609,7800,call,0,0,0
2016/1/4,201609,7800,put,530,530,530
2016/1/4,201609,8000,call,422,422,371
2016/1/4,201609,8000,put,505,615,610
2016/1/4,201609,8200,call,0,0,0
2016/1/4,201609,8200,put,0,0,0
2016/1/4,201609,8400,call,262,262,238
2016/1/4,201609,8400,put,895,895,880
2016/1/4,201609,8600,call,189,189,170
2016/1/4,201609,8600,put,0,0,0
2016/1/4,201609,8800,call,148,148,117
2016/1/4,201609,8800,put,0,0,0
2016/1/4,201609,9000,call,113,113,90
2016/1/4,201609,9000,put,0,0,0
2016/1/4,201609,9200,call,84,85,56
2016/1/4,201609,9200,put,0,0,0
2016/1/4,201609,9400,call,48,55,40
2016/1/4,201609,9400,put,0,0,0
2016/1/4,201609,9600,call,33,34,30
2016/1/4,201609,9600,put,0,0,0
2016/1/4,201609,9800,call,23.5,23.5,21.5
2016/1/4,201609,9800,put,0,0,0
2016/1/4,201609,10000,call,14,15,15
2016/1/4,201609,10000,put,0,0,0
2016/1/4,201609,10400,call,10,10,10
2016/1/4,201609,10400,put,0,0,0
2016/1/5,201601W1,7500,call,0,0,0
2016/1/5,201601W1,7500,put,0.2,0.3,0.3
2016/1/5,201601W1,7600,call,0,0,0
2016/1/5,201601W1,7600,put,0.3,0.6,0.4
2016/1/5,201601W1,7700,call,0,0,0
2016/1/5,201601W1,7700,put,2,2,0.4
2016/1/5,201601W1,7800,call,321,340,255
2016/1/5,201601W1,7800,put,0.4,2.9,0.8
2016/1/5,201601W1,7900,call,215,245,162
2016/1/5,201601W1,7900,put,6.8,7.8,2.7
2016/1/5,201601W1,7950,call,166,199,115
2016/1/5,201601W1,7950,put,11.5,14.5,7.3
2016/1/5,201601W1,8000,call,117,153,74
2016/1/5,201601W1,8000,put,16,24.5,16.5
2016/1/5,201601W1,8050,call,91,108,39
2016/1/5,201601W1,8050,put,25.5,41.5,33
2016/1/5,201601W1,8100,call,56,65,17
2016/1/5,201601W1,8100,put,40,73,61
2016/1/5,201601W1,8150,call,29,34.5,6.3
2016/1/5,201601W1,8150,put,62,114,100
2016/1/5,201601W1,8200,call,11,14.5,1.7
2016/1/5,201601W1,8200,put,94,160,142
2016/1/5,201601W1,8250,call,4,4.9,1
2016/1/5,201601W1,8250,put,120,207,190
2016/1/5,201601W1,8300,call,1.3,1.5,0.4
2016/1/5,201601W1,8300,put,181,255,245
2016/1/5,201601W1,8350,call,0.8,0.9,0.3
2016/1/5,201601W1,8350,put,245,308,292
2016/1/5,201601W1,8400,call,0.4,0.5,0.4
2016/1/5,201601W1,8400,put,299,356,342
2016/1/5,201601W1,8450,call,0.5,0.5,0.3
2016/1/5,201601W1,8450,put,336,338,322
2016/1/5,201601W1,8500,call,0.2,0.3,0.3
2016/1/5,201601W1,8500,put,429,433,433
2016/1/5,201601W1,8550,call,0,0,0
2016/1/5,201601W1,8550,put,0,0,0
2016/1/5,201601W1,8600,call,0.3,0.3,0.3
2016/1/5,201601W1,8600,put,0,0,0
2016/1/5,201601W1,8700,call,0,0,0
2016/1/5,201601W1,8700,put,0,0,0
2016/1/5,201601W1,8800,call,0.4,0.4,0.4
2016/1/5,201601W1,8800,put,0,0,0
2016/1/5,201601W1,8900,call,0,0,0
2016/1/5,201601W1,8900,put,0,0,0
2016/1/5,201601W1,9000,call,0.1,0.1,0.1
2016/1/5,201601W1,9000,put,0,0,0
2016/1/5,201601,6800,call,1280,1280,1280
2016/1/5,201601,6800,put,2.9,3,2.8
2016/1/5,201601,6900,call,0,0,0
2016/1/5,201601,6900,put,3.3,3.8,3.5
2016/1/5,201601,7000,call,0,0,0
2016/1/5,201601,7000,put,5.5,5.5,5
2016/1/5,201601,7100,call,0,0,0
2016/1/5,201601,7100,put,7.4,8,7.4
2016/1/5,201601,7200,call,0,0,0
2016/1/5,201601,7200,put,11.5,12,11
2016/1/5,201601,7300,call,0,0,0
2016/1/5,201601,7300,put,16,17.5,17
2016/1/5,201601,7400,call,0,0,0
2016/1/5,201601,7400,put,21.5,26,24.5
2016/1/5,201601,7500,call,555,555,555
2016/1/5,201601,7500,put,31,37.5,36
2016/1/5,201601,7600,call,525,550,477
2016/1/5,201601,7600,put,42,52,49
2016/1/5,201601,7700,call,440,451,388
2016/1/5,201601,7700,put,57,71,68
2016/1/5,201601,7800,call,355,385,311
2016/1/5,201601,7800,put,78,95,90
2016/1/5,201601,7900,call,278,305,243
2016/1/5,201601,7900,put,97,124,120
2016/1/5,201601,8000,call,210,235,180
2016/1/5,201601,8000,put,128,163,156
2016/1/5,201601,8100,call,147,168,124
2016/1/5,201601,8100,put,170,208,200
2016/1/5,201601,8200,call,100,112,80
2016/1/5,201601,8200,put,209,265,253
2016/1/5,201601,8300,call,55,68,46
2016/1/5,201601,8300,put,272,330,322
2016/1/5,201601,8400,call,30,36.5,25
2016/1/5,201601,8400,put,342,410,395
2016/1/5,201601,8500,call,14,17,12
2016/1/5,201601,8500,put,421,497,480
2016/1/5,201601,8600,call,8,8,6.5
2016/1/5,201601,8600,put,530,590,590
2016/1/5,201601,8700,call,3.3,3.9,3.9
2016/1/5,201601,8700,put,610,670,670
2016/1/5,201601,8800,call,2.5,3.3,3.1
2016/1/5,201601,8800,put,680,780,775
2016/1/5,201601,8900,call,0.5,2,1.8
2016/1/5,201601,8900,put,785,870,870
2016/1/5,201601,9000,call,1,1.5,1.5
2016/1/5,201601,9000,put,910,985,985
2016/1/5,201601,9100,call,0.8,1.1,1.1
2016/1/5,201601,9100,put,0,0,0
2016/1/5,201601,9200,call,0.7,0.9,0.9
2016/1/5,201601,9200,put,0,0,0
2016/1/5,201601,9300,call,0.7,0.7,0.7
2016/1/5,201601,9300,put,0,0,0
2016/1/5,201601,9400,call,0.4,0.5,0.5
2016/1/5,201601,9400,put,0,0,0
2016/1/5,201601,9500,call,0.4,0.5,0.5
2016/1/5,201601,9500,put,0,0,0
2016/1/5,201601,9600,call,0.4,0.5,0.4
2016/1/5,201601,9600,put,0,0,0
2016/1/5,201601,9700,call,0.3,0.5,0.5
2016/1/5,201601,9700,put,0,0,0
2016/1/5,201601,9800,call,0.4,0.5,0.4
2016/1/5,201601,9800,put,0,0,0
2016/1/5,201601,9900,call,0.4,0.4,0.4
2016/1/5,201601,9900,put,0,0,0
2016/1/5,201601,10000,call,0,0,0
2016/1/5,201601,10000,put,0,0,0
2016/1/5,201601,10200,call,0,0,0
2016/1/5,201601,10200,put,0,0,0
2016/1/5,201602,6800,call,0,0,0
2016/1/5,201602,6800,put,16.5,20,18.5
2016/1/5,201602,6900,call,0,0,0
2016/1/5,201602,6900,put,23,25,22.5
2016/1/5,201602,7000,call,0,0,0
2016/1/5,201602,7000,put,29.5,32,29.5
