Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2013/5/30,15306.02,15398.7,15280.99,15324.53,15326.86,15325.2,15198.57,14790.61,121,124,135,157.36,165.87,-8.51,0.4835 ,0.5886 ,0.5672 ,0.6253 
2014/11/6,17491.66,17560.31,17440.35,17554.47,17435.92,17197.84,16797.59,16943.85,70.67,85.95,83.33,173.5,64.22,109.28,0.9763 ,0.9474 ,0.8571 ,0.7167 
2015/9/16,16599.51,16755.98,16593.9,16739.95,16494.85,16404.9,16427.78,17284.24,99.62,103,113,-199.24,-276.09,76.85,0.7820 ,0.6632 ,0.6385 ,0.5249 
2016/8/2,18401.15,18403.65,18247.79,18313.77,18415.81,18472.9,18387.6,17949.88,89.68,96.36,91.17,134.28,168.25,-33.97,0.2850 ,0.4177 ,0.2931 ,0.5060 
2015/10/5,16502.1,16798.37,16502.1,16776.43,16370.93,16298.29,16388.64,16977.84,128,129,124,-103.6,-157.96,54.36,0.7015 ,0.4908 ,0.7245 ,0.5871 
2014/6/26,16866.81,16872.52,16746.09,16846.13,16883.22,16860.94,16837.88,16596.83,63.66,105,91.76,68.72,79.64,-10.92,0.5772 ,0.6280 ,0.4789 ,0.5415 
2015/9/11,16330.4,16434.76,16244.65,16433.09,16322.42,16356.76,16568.94,17359.92,105,119,129,-287.67,-319.49,31.82,0.5796 ,0.5571 ,0.5134 ,0.4543 
2014/3/27,16268.67,16300.94,16191.79,16264.23,16296.11,16268.29,16301.11,16176.76,93.7,148,118,42.35,51.78,-9.43,0.5635 ,0.5701 ,0.4733 ,0.5075 
2014/2/13,15946.99,16039.37,15863.25,16027.59,15916.43,15716.78,15913.07,16080.77,99.47,92.76,109,-94.93,-126.9,31.97,0.8245 ,0.6390 ,0.6646 ,0.5413 
2014/2/20,16044.15,16161.64,16006.59,16133.23,16097.23,15966.93,15852.83,16090.85,77.72,86.62,90.44,-11.51,-70.59,59.08,0.8509 ,0.8190 ,0.6554 ,0.5678 
2017/1/13,19912.54,19952.03,19849.38,19885.73,19894.78,19892.35,19893.5,19155.69,264,299,293,139.69,182.54,-42.85,0.6075 ,0.6333 ,0.4968 ,0.5808 
