Date,Open,High,Low,Close,BBandMA2,Di2add,Di2minus,ADX2,RSI6,RSI12,three_openposition,openposition,SMA5,SMA10,Volume,MA5,MA10,DIF12,MACD9,OSC,K,D,AR10,RSV5
2014/3/7,8730,8772,8676,8704,8699,61.54,3.26,79.42,0.73,0.64,24858,1990,8627,8607.7,104339,84660,76911,42.93,25.74,17.19,0.77,0.76,1.19,0.74
2014/3/10,8673,8694,8654,8676,8690,39.6,17.79,58.72,0.65,0.61,20113,-478,8649,8616.5,69919,78198,76810,45.65,29.72,15.93,0.73,0.75,1.04,0.59
2014/3/11,8690,8723,8678,8713,8694.5,48.47,10.65,61.34,0.7,0.64,18208,-1212,8681.2,8632.9,67391,77894,76186,49.8,33.74,16.06,0.74,0.75,1.3,0.64
2014/3/12,8666,8673,8645,8659,8686,22.43,31,38.7,0.55,0.57,13043,-1655,8689.2,8641.5,73277,80579,77518,48.67,36.72,11.95,0.68,0.73,1.41,0.26
2014/3/13,8702,8756,8694,8742,8700.5,60.64,12.24,52.55,0.68,0.63,17561,-1112,8698.8,8655,84582,79902,78090,53.18,40.01,13.16,0.75,0.73,1.4,0.76
2014/3/14,8673,8701,8671,8692,8717,32.15,21.71,35.97,0.56,0.58,14980,-523,8696.4,8661.7,58515,70737,77699,52.55,42.52,10.03,0.72,0.73,1.46,0.42
2014/3/17,8703,8715,8655,8699,8695.5,17.92,23.9,25.14,0.57,0.58,13599,1089,8701,8675,77365,72226,75212,51.7,44.36,7.34,0.66,0.71,1.42,0.49
2014/3/18,8745,8751,8712,8728,8713.5,40.2,13.53,37.39,0.63,0.61,13553,3698,8704,8692.6,65644,71877,74885,53.45,46.18,7.28,0.68,0.7,1.28,0.75
2014/3/19,8734,8742,8684,8696,8712,20.42,30.62,28.69,0.54,0.57,6901,-3991,8711.4,8700.3,47587,66739,73659,52.21,47.38,4.82,0.59,0.66,1.18,0.41
2014/3/20,8638,8639,8561,8568,8632,6.21,72.73,56.48,0.32,0.44,-763,-3006,8676.6,8687.7,95027,68828,74365,41.02,46.11,-5.09,0.4,0.58,0.65,0.04
2014/3/21,8586,8598,8558,8573,8570.5,4.39,53.68,70.67,0.34,0.45,1766,-2261,8652.8,8674.6,66251,70375,70556,31.11,43.11,-12,0.29,0.48,0.61,0.08
2014/3/24,8550,8605,8523,8601,8587,2,47.69,81.31,0.41,0.48,3916,-2815,8633.2,8667.1,99699,74842,73534,23.55,39.2,-15.65,0.31,0.42,0.71,0.34
2014/3/25,8589,8660,8576,8658,8629.5,35.48,22.53,51.82,0.53,0.53,8859,-1317,8619.2,8661.6,91751,80063,75970,21.79,35.72,-13.93,0.4,0.42,0.83,0.62
