date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/2,201209,TXO,8000,put,1480,1480,1480,1480,2
2012/1/2,201209,TXO,8200,call,89,89,86,86,162
2012/1/2,201209,TXO,8200,put,0,0,0,0,0
2012/1/2,201209,TXO,8400,call,70,70,61,61,291
2012/1/2,201209,TXO,8400,put,0,0,0,0,0
2012/1/2,201209,TXO,8600,call,52,52,49,50,216
2012/1/2,201209,TXO,8600,put,0,0,0,0,0
2012/1/3,201201,TXO,5600,call,1470,1500,1470,1500,0
2012/1/3,201201,TXO,5600,put,1.8,2.6,1.4,2.4,8228
2012/1/3,201201,TXO,5700,call,1310,1320,1310,1320,14
2012/1/3,201201,TXO,5700,put,2.5,3.7,2,3.5,7721
2012/1/3,201201,TXO,5800,call,0,0,0,0,13
2012/1/3,201201,TXO,5800,put,3.2,5.2,3,4.7,6142
2012/1/3,201201,TXO,5900,call,0,0,0,0,22
2012/1/3,201201,TXO,5900,put,4.4,7.2,4.4,6.3,6252
2012/1/3,201201,TXO,6000,call,755,1100,755,1080,320
2012/1/3,201201,TXO,6000,put,7,9.7,6.5,8.8,15135
2012/1/3,201201,TXO,6100,call,890,925,890,925,33
2012/1/3,201201,TXO,6100,put,10.5,13.5,9.5,11.5,11020
2012/1/3,201201,TXO,6200,call,795,890,795,890,87
2012/1/3,201201,TXO,6200,put,14.5,18,13.5,16.5,13332
2012/1/3,201201,TXO,6300,call,700,800,700,770,73
2012/1/3,201201,TXO,6300,put,19.5,24,19,22,16578
2012/1/3,201201,TXO,6400,call,620,710,620,685,310
2012/1/3,201201,TXO,6400,put,29,33,26,31,19009
2012/1/3,201201,TXO,6500,call,540,620,540,600,352
2012/1/3,201201,TXO,6500,put,39,44,36.5,42,32818
2012/1/3,201201,TXO,6600,call,455,535,455,505,1074
2012/1/3,201201,TXO,6600,put,53,59,49,56,25189
2012/1/3,201201,TXO,6700,call,395,450,384,421,1942
2012/1/3,201201,TXO,6700,put,74,79,65,74,22356
2012/1/3,201201,TXO,6800,call,320,371,309,345,6624
2012/1/3,201201,TXO,6800,put,98,105,85,99,25061
2012/1/3,201201,TXO,6900,call,253,298,244,275,7174
2012/1/3,201201,TXO,6900,put,131,139,111,126,19142
2012/1/3,201201,TXO,7000,call,194,231,184,213,14373
2012/1/3,201201,TXO,7000,put,174,182,145,163,12995
2012/1/3,201201,TXO,7100,call,143,173,135,158,20186
2012/1/3,201201,TXO,7100,put,224,232,183,210,7413
2012/1/3,201201,TXO,7200,call,103,125,96,114,23108
2012/1/3,201201,TXO,7200,put,283,293,239,267,3570
2012/1/3,201201,TXO,7300,call,71,87,66,79,27446
2012/1/3,201201,TXO,7300,put,350,360,300,331,1227
2012/1/3,201201,TXO,7400,call,48.5,57,43.5,51,32359
2012/1/3,201201,TXO,7400,put,429,435,373,403,1462
