date,Open,High,Low,Close,BBandMA2,RSI6,RSI12,ADX2,three_openposition,openposition
2011/2/21,8814,8815,8732,8809,8809,0.51,0.48,50.31,-4931,2348
2011/2/22,8713,8722,8562,8620,8714.5,0.36,0.39,56.2,-5102,-299
2011/2/23,8588,8637,8480,8521,8570.5,0.30,0.36,66.99,-4432,1241
2011/2/24,8502,8610,8502,8531,8526,0.31,0.36,72.38,-3490,943
2011/2/25,8560,8630,8433,8615,8573,0.42,0.42,81.54,-116,5440
2011/3/1,8695,8710,8634,8690,8652.5,0.51,0.46,50.18,566,4396
2011/3/2,8610,8674,8582,8601,8645.5,0.42,0.42,41.08,688,1288
2011/3/3,8660,8755,8630,8739,8670,0.56,0.50,42.24,4122,3709
2011/3/4,8796,8800,8753,8761,8750,0.58,0.51,53.81,4037,2375
2011/3/7,8743,8762,8677,8721,8741,0.53,0.49,41.13,2919,2124
2011/3/8,8704,8758,8701,8740,8730.5,0.55,0.50,34.79,1936,2242
2011/3/9,8793,8798,8698,8758,8749,0.58,0.51,38.13,4156,1982
2011/3/10,8763,8763,8608,8623,8690.5,0.39,0.43,48.56,-3698,-969
2011/3/11,8550,8574,8480,8559,8591,0.33,0.40,67.49,-3129,-2067
2011/3/14,8531,8568,8366,8504,8531.5,0.29,0.38,80.65,-1389,-2141
2011/3/15,8531,8532,8026,8257,8380.5,0.17,0.29,89.59,-565,-13792
2011/3/16,8410,8411,8264,8305,8281,0.24,0.32,94.07,-966,-6471
2011/3/17,8151,8274,8129,8257,8281,0.22,0.30,96.7,-46,-6559
2011/3/18,8292,8345,8270,8321,8289,0.32,0.35,61.56,417,-5520
2011/3/21,8359,8445,8328,8391,8356,0.42,0.40,49.65,3959,-3978
2011/3/22,8431,8479,8414,8417,8404,0.46,0.42,51.68,6865,-3788
2011/3/23,8400,8510,8393,8451,8434,0.51,0.44,60.07,7483,-6005
2011/3/24,8502,8548,8480,8527,8489,0.60,0.49,71.18,8571,-6121
2011/3/25,8588,8626,8548,8577,8552,0.66,0.52,82.43,13352,-5060
2011/3/28,8585,8585,8495,8520,8548.5,0.56,0.48,42.9,10812,-6930
2011/3/29,8507,8575,8474,8573,8546.5,0.62,0.52,33.71,11153,-6533
2011/3/30,8607,8650,8582,8592,8582.5,0.64,0.53,45.59,12384,-6264
2011/3/31,8604,8645,8557,8640,8616,0.70,0.56,27.51,13380,-6014
2011/4/1,8640,8689,8630,8684,8662,0.74,0.59,41.92,14828,-5412
2011/4/6,8743,8863,8727,8839,8761.5,0.84,0.67,66.67,18976,-1448
2011/4/7,8864,8901,8823,8896,8867.5,0.86,0.69,80.16,18434,-1831
2011/4/8,8939,8939,8850,8868,8882,0.79,0.66,87.99,13562,-2939
2011/4/11,8868,8882,8820,8859,8863.5,0.77,0.66,57.58,15771,-2045
2011/4/12,8820,8822,8703,8706,8782.5,0.48,0.53,61.77,10780,-5321
2011/4/13,8728,8810,8696,8807,8756.5,0.60,0.59,65.23,11706,-4352
2011/4/14,8780,8852,8750,8796,8801.5,0.58,0.58,39.73,8807,-3410
2011/4/15,8786,8820,8680,8705,8750.5,0.45,0.51,48.22,7254,-5665
2011/4/18,8692,8760,8674,8708,8706.5,0.46,0.52,54.55,7992,-7720
2011/4/19,8657,8671,8585,8627,8667.5,0.36,0.46,72.2,3054,-7102
2011/4/20,8701,8800,8695,8792,8709.5,0.58,0.56,55.93,8289,-2740
2011/4/21,8882,9004,8879,8989,8890.5,0.72,0.65,68.41,8621,-1477
2011/4/22,8989,9008,8973,8991,8990,0.72,0.65,74.9,6808,201
2011/4/25,9003,9050,8942,8974,8982.5,0.69,0.64,81.44,5098,-417
2011/4/26,8914,8982,8870,8968,8971,0.68,0.63,48.26,5656,-277
2011/4/27,9051,9078,9032,9059,9013.5,0.76,0.68,50.76,5662,426
2011/4/28,9098,9099,9005,9014,9036.5,0.67,0.64,32.82,5280,122
2011/4/29,9014,9049,8930,9024,9019,0.68,0.64,42.39,4665,502
2011/5/3,9036,9069,8896,8933,8978.5,0.50,0.56,55.47,1881,36
2011/5/4,8908,8959,8860,8936,8934.5,0.51,0.57,68.65,2010,454
2011/5/5,8903,9058,8885,9050,8993,0.66,0.63,56.97,5337,2439
2011/5/6,8971,9022,8956,9014,9032,0.59,0.60,51.12,4036,1643
2011/5/9,9001,9111,9001,9063,9038.5,0.65,0.63,67.78,3283,1279
2011/5/10,9063,9071,9026,9045,9054,0.61,0.61,76.1,1719,1503
2011/5/11,9109,9116,9013,9020,9032.5,0.56,0.59,84.87,-834,585
2011/5/12,8960,9068,8942,9028,9024,0.57,0.59,58.65,2007,1982
2011/5/13,9017,9063,9000,9029,9028.5,0.57,0.59,45.54,1405,2212
2011/5/16,8995,9026,8914,8926,8977.5,0.35,0.49,64.64,-3842,-510
2011/5/17,8900,8936,8847,8911,8918.5,0.33,0.48,78.6,-7422,-2379
2011/5/18,8915,8948,8896,8934,8922.5,0.40,0.50,69.92,-6567,352
2011/5/19,8960,9043,8838,8841,8887.5,0.27,0.42,62.4,-6570,-895
2011/5/20,8900,8915,8806,8817,8829,0.24,0.41,33.34,-5213,-2205
2011/5/23,8747,8771,8668,8734,8775.5,0.17,0.35,53.01,-5800,-2421
2011/5/24,8723,8767,8660,8763,8748.5,0.26,0.38,63.93,-7063,-1223
2011/5/25,8745,8746,8650,8679,8721,0.19,0.33,71.45,-6448,-2486
2011/5/26,8764,8796,8719,8785,8732,0.42,0.44,51.91,-5278,-1293
2011/5/27,8773,8855,8768,8780,8782.5,0.42,0.43,62.25,-2823,-1282
2011/5/30,8760,8827,8708,8816,8798,0.49,0.47,42.07,-849,-2143
2011/5/31,8857,9034,8856,9018,8917,0.72,0.61,58.28,6506,869
2011/6/1,9023,9106,9008,9086,9052,0.76,0.64,70.91,8993,2050
2011/6/2,8980,9057,8976,9028,9057,0.66,0.59,55.22,7980,1246
2011/6/3,9048,9078,8998,9070,9049,0.69,0.62,54.61,7397,3186
2011/6/7,9032,9095,8973,9089,9079.5,0.71,0.63,28.26,6457,3659
2011/6/8,9076,9087,9002,9030,9059.5,0.59,0.57,15.08,2910,1017
2011/6/9,9011,9050,8994,9029,9029.5,0.59,0.57,24.05,974,-589
2011/6/10,9068,9069,8811,8829,8929,0.32,0.43,59.87,-4451,-1560
2011/6/13,8780,8805,8683,8743,8786,0.26,0.38,79,-3514,-2571
2011/6/14,8743,8848,8734,8845,8794,0.42,0.46,61.24,-3039,-2686
2011/6/15,8846,8877,8730,8839,8842,0.41,0.45,32.91,-9124,-1503
2011/6/16,8559,8559,8481,8494,8666.5,0.20,0.31,58.02,-10796,-3612
2011/6/17,8492,8543,8436,8462,8478,0.19,0.30,72.51,-11818,-4112
2011/6/20,8501,8525,8365,8399,8430.5,0.17,0.28,82.48,-10028,-4453
2011/6/21,8470,8485,8400,8465,8432,0.27,0.33,87.47,-13478,-4435
2011/6/22,8518,8524,8416,8442,8453.5,0.26,0.32,43.79,-12677,-3943
2011/6/23,8424,8475,8389,8397,8419.5,0.23,0.30,41.89,-15507,-4502
2011/6/24,8420,8432,8365,8410,8403.5,0.26,0.31,53.39,-20762,-4056
2011/6/27,8310,8373,8260,8335,8372.5,0.21,0.28,72.91,-20408,-3770
2011/6/28,8385,8396,8304,8310,8322.5,0.20,0.28,58.06,-19754,-4867
2011/6/29,8377,8486,8353,8470,8390,0.48,0.41,55.17,-15139,-2246
2011/6/30,8475,8528,8456,8505,8487.5,0.52,0.43,62.88,-13462,-2277
2011/7/1,8560,8615,8543,8572,8538.5,0.60,0.48,75.76,-9013,-368
2011/7/4,8631,8657,8598,8601,8586.5,0.63,0.50,84.31,-5696,229
2011/7/5,8611,8631,8585,8629,8615,0.66,0.52,70.53,-1449,2323
2011/7/6,8628,8713,8623,8690,8659.5,0.72,0.55,78.84,3204,3208
2011/7/7,8690,8712,8665,8689,8689.5,0.72,0.55,82.99,1000,2890
2011/7/8,8696,8768,8635,8643,8666,0.60,0.52,89.29,1180,2557
2011/7/11,8603,8630,8573,8600,8621.5,0.51,0.48,54.82,-778,751
2011/7/12,8511,8538,8412,8422,8511,0.29,0.37,67.65,-7574,-573
2011/7/13,8431,8483,8410,8463,8442.5,0.37,0.41,74.24,-7156,181
2011/7/14,8448,8506,8360,8481,8472,0.40,0.42,82.13,-8146,89
2011/7/15,8472,8570,8451,8563,8522,0.54,0.49,48.4,-6826,1907
2011/7/18,8507,8590,8469,8486,8524.5,0.43,0.44,42.47,-9112,-370
2011/7/19,8500,8546,8487,8532,8509,0.50,0.47,39.5,-7947,-731
2011/7/20,8620,8708,8611,8697,8614.5,0.68,0.58,66.34,-3460,1295
2011/7/21,8637,8654,8615,8651,8674,0.60,0.54,79.76,-3323,2072
2011/7/22,8703,8740,8682,8694,8672.5,0.65,0.57,88.7,-1467,2873
2011/7/25,8650,8689,8586,8605,8649.5,0.51,0.51,54.2,-4902,2025
2011/7/26,8636,8744,8628,8734,8669.5,0.64,0.58,41.48,-1584,2520
2011/7/27,8714,8772,8707,8761,8747.5,0.66,0.59,45.52,169,2920
2011/7/28,8695,8735,8660,8726,8743.5,0.61,0.57,34.99,-1429,3113
2011/7/29,8698,8726,8592,8610,8668,0.45,0.49,51.97,-7342,593
2011/8/1,8713,8728,8655,8682,8646,0.54,0.53,57.63,-11066,923
2011/8/2,8600,8607,8535,8573,8627.5,0.41,0.47,75.16,-13867,-940
2011/8/3,8420,8455,8367,8436,8504.5,0.31,0.40,86.45,-14753,328
2011/8/4,8430,8488,8278,8289,8362.5,0.23,0.34,92.57,-21376,309
2011/8/5,7820,7988,7736,7765,8027,0.11,0.22,96.18,-13785,-1651
2011/8/8,7742,7769,7260,7556,7660.5,0.09,0.19,98.05,-11339,-14537
2011/8/9,7230,7607,7091,7535,7545.5,0.09,0.19,98.99,-10744,-12811
2011/8/10,7597,7698,7581,7667,7601,0.22,0.26,75.23,-9001,-13452
2011/8/11,7554,7748,7461,7699,7683,0.26,0.28,72.82,-7254,-12465
2011/8/12,7740,7794,7564,7592,7645.5,0.22,0.26,52,-3072,-12761
2011/8/15,7723,7831,7712,7822,7707,0.43,0.37,28.13,1485,-9446
2011/8/16,7858,7877,7735,7772,7797,0.40,0.36,35.44,45,-12020
2011/8/17,7758,7824,7718,7754,7763,0.39,0.35,22.74,-3880,-3603
2011/8/18,7580,7584,7447,7498,7626,0.27,0.29,54.74,559,-4042
2011/8/19,7298,7355,7191,7197,7347.5,0.18,0.24,74.88,1387,-7963
2011/8/22,7197,7433,7160,7251,7224,0.23,0.26,58.08,-284,-9627
2011/8/23,7301,7543,7297,7504,7377.5,0.43,0.38,39.3,-2852,-6519
2011/8/24,7530,7550,7340,7422,7463,0.39,0.36,32,-2168,-5347
2011/8/25,7543,7559,7346,7360,7391,0.36,0.34,32.85,-3077,-6054
2011/8/26,7399,7491,7354,7444,7402,0.43,0.38,33.27,-1712,-7035
2011/8/29,7470,7610,7440,7529,7486.5,0.50,0.42,62.1,-3864,-4932
2011/8/30,7600,7632,7548,7601,7565,0.56,0.45,77.62,1930,-3509
2011/8/31,7617,7714,7556,7707,7654,0.63,0.49,87.58,3853,-3260
2011/9/1,7750,7849,7681,7699,7703,0.62,0.48,93.4,5313,-4420
2011/9/2,7725,7745,7651,7713,7706,0.63,0.49,73.21,3541,-4776
2011/9/5,7550,7560,7467,7477,7595,0.40,0.40,66.7,5077,-5324
2011/9/6,7404,7488,7313,7336,7406.5,0.31,0.36,74.46,3723,-7028
2011/9/7,7460,7538,7412,7535,7435.5,0.49,0.45,54.26,4454,-2866
2011/9/8,7565,7598,7477,7547,7541,0.50,0.45,36.12,5117,-3044
2011/9/9,7553,7654,7510,7602,7574.5,0.55,0.48,44.28,6992,-2561
2011/9/13,7502,7538,7335,7369,7485.5,0.37,0.40,51.12,4382,-4365
2011/9/14,7398,7462,7160,7193,7281,0.29,0.35,66.97,5431,-6783
2011/9/15,7360,7450,7324,7405,7299,0.46,0.44,74.9,7836,-3366
2011/9/16,7514,7628,7507,7608,7506.5,0.58,0.51,60.62,11652,-768
2011/9/19,7580,7583,7455,7477,7542.5,0.50,0.47,32.1,6705,-4376
2011/9/20,7444,7566,7369,7486,7481.5,0.50,0.47,39.71,6429,-3913
2011/9/21,7508,7591,7453,7537,7511.5,0.54,0.49,27.15,4779,-2104
2011/9/22,7362,7370,7250,7275,7406,0.37,0.41,54.31,2794,-3260
2011/9/23,7037,7104,6972,7048,7161.5,0.28,0.35,74.21,-752,-3390
2011/9/26,7036,7048,6855,6882,6965,0.23,0.32,85.23,1292,-3514
2011/9/27,7038,7135,7030,7129,7005.5,0.41,0.41,56.24,5236,-2488
2011/9/28,7187,7196,7067,7102,7115.5,0.40,0.41,35.51,4652,-2563
2011/9/29,7041,7208,7023,7181,7141.5,0.46,0.43,28.88,6952,-2244
2011/9/30,7182,7230,7131,7181,7181,0.46,0.43,18.23,7043,-2842
2011/10/3,7029,7085,6959,7017,7099,0.36,0.39,47.94,9583,-2813
2011/10/4,6871,7098,6871,7090,7053.5,0.43,0.42,67.8,10644,-2208
2011/10/5,7058,7087,6973,6988,7039,0.36,0.39,77.73,2744,-3719
2011/10/6,7115,7190,7100,7122,7055,0.48,0.44,58.56,6818,-2310
2011/10/7,7250,7260,7183,7192,7157,0.54,0.47,63.5,6767,-1244
2011/10/11,7353,7408,7336,7406,7299,0.67,0.55,76.53,9139,618
2011/10/12,7370,7424,7340,7389,7397.5,0.65,0.54,83.71,7300,1605
2011/10/13,7454,7460,7375,7393,7391,0.66,0.54,88.95,3875,1262
2011/10/14,7400,7401,7353,7374,7383.5,0.63,0.53,61.75,3043,-475
2011/10/17,7470,7495,7408,7454,7414,0.69,0.57,71.85,2177,-275
2011/10/18,7361,7389,7313,7340,7397,0.54,0.51,49,1768,-657
2011/10/19,7342,7382,7320,7330,7335,0.52,0.51,37.57,3302,-1526
2011/10/20,7356,7358,7213,7216,7273,0.40,0.46,58.74,-1897,-3306
2011/10/21,7227,7272,7193,7260,7238,0.46,0.48,71.48,-1726,-3565
2011/10/24,7394,7503,7381,7492,7376,0.67,0.58,70.24,4032,-1836
2011/10/25,7499,7519,7463,7471,7481.5,0.64,0.57,71.22,3365,-1174
2011/10/26,7425,7573,7408,7545,7508,0.69,0.60,35.95,4747,-936
2011/10/27,7549,7603,7502,7591,7568,0.72,0.61,33.8,5662,505
2011/10/28,7725,7777,7611,7628,7609.5,0.75,0.63,59.5,5019,-716
2011/10/31,7649,7682,7546,7562,7595,0.63,0.59,38.16,3815,-2190
2011/11/1,7570,7685,7522,7638,7600,0.70,0.62,23.18,7164,-1772
2011/11/2,7488,7634,7451,7604,7621,0.64,0.59,41.35,3325,-2079
2011/11/3,7565,7580,7438,7446,7525,0.43,0.50,53.87,-3332,-4089
2011/11/4,7605,7665,7573,7628,7537,0.61,0.58,51.12,-679,-2126
2011/11/7,7617,7655,7591,7635,7631.5,0.61,0.59,49.74,877,-1226
2011/11/8,7631,7709,7579,7589,7612,0.55,0.56,65.49,-631,-2843
2011/11/9,7655,7672,7576,7612,7600.5,0.58,0.57,67.37,481,-3381
2011/11/10,7430,7454,7275,7317,7464.5,0.31,0.42,77.75,-7753,-5419
2011/11/11,7317,7384,7288,7356,7336.5,0.35,0.44,82.94,-7491,-4754
2011/11/14,7493,7563,7488,7542,7449,0.54,0.53,62.18,-2788,-3333
2011/11/15,7528,7549,7481,7501,7521.5,0.50,0.51,48.19,-4475,-6267
2011/11/16,7534,7562,7384,7398,7449.5,0.41,0.47,46.33,-6038,-1829
2011/11/17,7333,7409,7283,7401,7399.5,0.42,0.47,60.66,-4921,-1303
2011/11/18,7278,7330,7234,7246,7323.5,0.30,0.40,72.18,-10929,-1229
2011/11/21,7186,7188,7016,7051,7148.5,0.22,0.34,84.1,-13731,-757
2011/11/22,7050,7102,6970,7021,7036,0.20,0.33,90.54,-16894,-1492
2011/11/23,6970,6987,6798,6823,6922,0.15,0.28,94.73,-17893,-748
2011/11/24,6828,6903,6765,6831,6827,0.16,0.28,96.93,-21757,-170
2011/11/25,6870,6956,6725,6754,6792.5,0.14,0.26,59.31,-19408,-117
2011/11/28,6909,6925,6850,6916,6835,0.36,0.36,40.5,-16319,161
2011/11/29,6965,6996,6912,6973,6944.5,0.42,0.39,50.52,-15964,792
2011/11/30,6943,6957,6826,6902,6937.5,0.37,0.37,44.82,-11917,-640
2011/12/1,7194,7251,7140,7210,7056,0.62,0.51,59.15,-10334,2708
2011/12/2,7202,7214,7116,7156,7183,0.57,0.49,56.19,-13412,2806
2011/12/5,7165,7168,7052,7131,7143.5,0.55,0.48,30.87,-14991,2699
2011/12/6,7086,7090,6953,6982,7056.5,0.42,0.42,43.84,-13755,514
2011/12/7,7012,7063,7005,7050,7016,0.49,0.46,50.33,-12266,686
2011/12/8,7015,7027,6907,6963,7006.5,0.42,0.42,68.31,-12978,1106
2011/12/9,6801,6933,6790,6887,6925,0.36,0.40,81.55,-10334,819
2011/12/12,6975,7016,6932,6941,6914,0.43,0.43,42.6,-10093,861
2011/12/13,6855,6930,6837,6894,6917.5,0.39,0.41,48.04,-8187,669
2011/12/14,6883,6925,6857,6921,6907.5,0.42,0.42,50.76,-10287,288
2011/12/15,6845,6858,6751,6753,6837,0.29,0.36,68.35,-14663,-512
2011/12/16,6772,6803,6746,6772,6762.5,0.32,0.37,77.58,-12404,-328
2011/12/19,6670,6741,6613,6634,6703,0.23,0.32,87.25,-12298,-1766
2011/12/20,6674,6704,6665,6669,6651.5,0.29,0.35,92.08,-13093,-4601
2011/12/21,6831,6960,6830,6952,6810.5,0.59,0.50,81.78,-5658,1007
2011/12/22,6950,6979,6936,6955,6953.5,0.59,0.50,78.23,-5876,691
2011/12/23,7048,7124,7031,7107,7031,0.69,0.56,84.46,-3936,1665
2011/12/26,7108,7116,7074,7103,7105,0.69,0.56,87.58,-5220,1843
2011/12/27,7095,7112,7035,7084,7093.5,0.66,0.55,50.53,-5558,1865
2011/12/28,7062,7088,7037,7053,7068.5,0.61,0.53,32.01,-6333,1133
2011/12/29,7012,7077,7000,7074,7063.5,0.63,0.54,43.63,-6398,1145
2011/12/30,7098,7148,7036,7039,7056.5,0.56,0.52,48.47,-10188,1759
2012/1/2,7022,7051,6928,6945,6992,0.42,0.47,49.72,-11092,1661
2012/1/3,7020,7087,7002,7047,6996,0.56,0.53,26.8,-7472,1427
2012/1/4,7084,7109,7043,7072,7059.5,0.59,0.54,25.8,-3888,1861
2012/1/5,7088,7124,7061,7119,7095.5,0.65,0.57,35.58,-1610,2130
2012/1/6,7100,7117,7060,7084,7101.5,0.58,0.54,37.92,-1268,1850
2012/1/9,7047,7082,7026,7057,7070.5,0.53,0.52,48.29,-1839,1088
2012/1/10,7120,7180,7111,7167,7112,0.67,0.59,58.48,3334,834
2012/1/11,7185,7196,7167,7179,7173,0.68,0.59,66.83,2543,1336
2012/1/12,7185,7194,7161,7185,7182,0.69,0.60,59.2,4662,2097
2012/1/13,7235,7263,7147,7161,7173,0.62,0.57,73.7,2307,2856
2012/1/16,7236,7280,7071,7090,7125.5,0.46,0.51,51.55,1463,3259
2012/1/17,7152,7228,7118,7225,7157.5,0.66,0.60,40.47,7875,5897
2012/1/18,7224,7248,7192,7207,7216,0.62,0.59,31.21,5330,845
2012/1/30,7352,7448,7351,7392,7299.5,0.78,0.68,61.24,6611,824
2012/1/31,7444,7503,7422,7468,7430,0.81,0.71,77.68,7876,1229
2012/2/1,7492,7548,7476,7522,7495,0.84,0.73,86.93,14204,2159
2012/2/2,7620,7650,7566,7641,7581.5,0.88,0.76,92.73,14994,4017
2012/2/3,7620,7650,7602,7640,7640.5,0.88,0.76,95.62,16005,5079
2012/2/4,7720,7758,7693,7733,7686.5,0.90,0.79,97.61,18219,6073
2012/2/6,7706,7724,7668,7683,7708,0.79,0.74,73.6,17375,4880
2012/2/7,7706,7750,7675,7720,7701.5,0.81,0.75,70.23,20326,4765
2012/2/8,7766,7895,7760,7888,7804,0.88,0.80,81.68,20642,6666
2012/2/9,7860,7933,7829,7920,7904,0.89,0.81,88.41,20236,8544
2012/2/10,7876,7928,7850,7865,7892.5,0.77,0.75,91.78,15080,6177
2012/2/13,7875,7937,7841,7905,7885,0.79,0.77,93.46,14939,4742
2012/2/14,7905,7914,7807,7874,7889.5,0.72,0.73,65.26,15383,8001
2012/2/15,7924,8010,7890,8005,7939.5,0.81,0.78,68.43,13016,945
2012/2/16,7968,7994,7867,7905,7955,0.63,0.69,46.39,10141,-527
2012/2/17,7982,8021,7880,7929,7917,0.65,0.70,50.22,8447,12
2012/2/20,7989,8004,7927,7957,7943,0.68,0.71,52.14,7883,1104
2012/2/21,7954,7975,7854,7947,7952,0.66,0.70,61.39,8822,1126
2012/2/22,7918,8036,7889,8005,7976,0.72,0.72,44.43,10098,1531
2012/2/23,7960,7991,7941,7963,7984,0.62,0.68,35.95,8135,1420
2012/2/24,7945,7975,7883,7943,7953,0.58,0.66,47.97,7464,890
2012/2/29,8006,8126,8002,8111,8027,0.76,0.73,56.49,17541,1925
2012/3/1,8143,8177,8114,8139,8125,0.77,0.74,66.8,15296,1528
2012/3/2,8180,8187,8112,8152,8145.5,0.78,0.75,73.31,12043,2156
2012/3/3,8130,8130,8086,8120,8136,0.70,0.71,42.15,11029,1179
2012/3/5,8101,8107,8003,8038,8079,0.52,0.63,54.96,5411,198
2012/3/6,8020,8034,7871,7945,7991.5,0.39,0.55,72.54,637,-1911
2012/3/7,7854,7929,7840,7892,7918.5,0.33,0.51,82.54,2613,-3676
2012/3/8,7938,8000,7883,7976,7934,0.48,0.56,45.96,5804,203
2012/3/9,7990,8030,7942,8003,7989.5,0.52,0.58,41.68,7253,1399
2012/3/12,7998,8008,7908,7927,7965,0.41,0.52,30.44,5805,-584
2012/3/13,7967,8065,7965,8032,7979.5,0.56,0.58,40.19,12116,-491
2012/3/14,8154,8188,8132,8140,8086,0.67,0.64,62.95,12075,1011
2012/3/15,8140,8158,8090,8135,8137.5,0.66,0.63,43.88,10819,1892
2012/3/16,8130,8143,8058,8068,8101.5,0.54,0.58,30.33,5765,177
2012/3/19,8113,8116,7972,8050,8059,0.51,0.56,50.26,7664,226
2012/3/20,8077,8078,7952,7984,8017,0.42,0.51,63.65,2330,-3727
2012/3/21,7966,8016,7951,7980,7982,0.41,0.51,70.6,5138,-3926
2012/3/22,8009,8095,7986,8081,8030.5,0.58,0.58,65.79,11674,-3637
2012/3/23,8101,8101,8051,8080,8080.5,0.58,0.58,65.45,5485,-4377
2012/3/26,8081,8096,7938,7959,8019.5,0.39,0.48,66.19,-639,-2874
2012/3/27,8000,8022,7973,8012,7985.5,0.48,0.52,66.55,6508,-2192
2012/3/28,8015,8079,7996,8028,8020,0.51,0.53,51.34,11216,-1193
2012/3/29,7998,8006,7820,7849,7938.5,0.30,0.41,61.53,-1009,-1663
2012/3/30,7810,7907,7786,7886,7867.5,0.36,0.44,69.93,179,997
2012/4/2,7888,7904,7835,7865,7875.5,0.34,0.43,74.14,2590,624
2012/4/3,7889,7919,7736,7778,7821.5,0.26,0.38,84.17,-3870,907
2012/4/5,7651,7663,7523,7619,7698.5,0.18,0.31,91.38,-4865,2533
2012/4/6,7640,7688,7613,7672,7645.5,0.27,0.35,79.98,1892,4638
2012/4/9,7572,7633,7503,7577,7624.5,0.22,0.31,83.24,6157,3842
2012/4/10,7633,7683,7579,7610,7593.5,0.28,0.34,53.01,7976,3669
2012/4/11,7511,7650,7507,7638,7624,0.33,0.36,57.05,11231,4809
2012/4/12,7610,7648,7568,7634,7636,0.33,0.36,59.06,8952,6551
2012/4/13,7701,7766,7685,7755,7694.5,0.54,0.46,60.59,12226,6072
2012/4/16,7700,7734,7681,7712,7733.5,0.47,0.43,57.35,11465,3971
2012/4/17,7708,7739,7585,7597,7654.5,0.34,0.37,55.78,3591,3703
2012/4/18,7690,7692,7599,7620,7608.5,0.38,0.39,55,3044,-2862
2012/4/19,7591,7626,7510,7613,7616.5,0.38,0.39,71.15,5620,-3227
2012/4/20,7581,7599,7489,7515,7564,0.27,0.34,80.84,2622,-2489
2012/4/23,7499,7510,7416,7478,7496.5,0.25,0.32,88.71,4193,-1505
2012/4/24,7451,7534,7434,7488,7483,0.27,0.33,63.57,6976,-2308
2012/4/25,7544,7573,7510,7539,7513.5,0.40,0.38,46.49,6277,-2049
2012/4/26,7577,7585,7480,7496,7517.5,0.34,0.36,36.36,4122,-1323
2012/4/27,7546,7561,7435,7446,7471,0.28,0.33,52.07,2509,-1879
2012/4/30,7444,7469,7395,7465,7455.5,0.33,0.35,67.98,2854,-824
2012/5/2,7496,7683,7491,7675,7570,0.66,0.53,69.52,7662,143
2012/5/3,7676,7676,7635,7657,7666,0.63,0.51,70.29,6007,202
2012/5/4,7615,7685,7583,7664,7660.5,0.64,0.52,38.12,6554,-194
2012/5/7,7557,7578,7491,7502,7583,0.40,0.41,50.93,745,110
2012/5/8,7520,7545,7493,7520,7511,0.42,0.42,57.33,2827,1156
2012/5/9,7468,7490,7417,7459,7489.5,0.36,0.39,72.68,1754,1900
2012/5/10,7425,7516,7425,7479,7469,0.39,0.41,50.81,4288,2986
2012/5/11,7458,7464,7356,7366,7422.5,0.28,0.35,62.09,-2025,1404
2012/5/14,7376,7398,7327,7369,7367.5,0.29,0.35,72.31,2022,746
