Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2011/2/21,8814,8815,8732,8809,8731.8,8780.2,8894.6,8789.53,83847,101302,116499,-41.96,-11.3,-30.66,0.36,0.33,0.51,0.48,0.49
2011/2/22,8713,8722,8562,8620,8716.4,8732.3,8879.6,8793.72,144975,105086,121122,-52.4,-19.52,-32.88,0.31,0.32,0.36,0.39,0.21
2011/2/23,8588,8637,8480,8521,8676.8,8683.2,8857,8796.92,139573,121437,122197,-67.26,-29.07,-38.19,0.25,0.3,0.3,0.36,0.11
2011/2/24,8502,8610,8502,8531,8658,8654,8829.4,8800.72,118501,121191,120069,-77.84,-38.82,-39.02,0.21,0.27,0.31,0.36,0.14
2011/2/25,8560,8630,8433,8615,8619.2,8659.1,8809.8,8805.32,185984,134576,119255,-82.87,-47.63,-35.24,0.29,0.27,0.42,0.42,0.44
2011/3/1,8695,8710,8634,8690,8595.4,8663.6,8799,8811.85,84818,134770,118036,-77.27,-53.56,-23.71,0.4,0.32,0.51,0.46,0.62
2011/3/2,8610,8674,8582,8601,8591.6,8654,8781.85,8815.55,126553,131086,118086,-77.31,-58.31,-19,0.4,0.34,0.42,0.42,0.41
2011/3/3,8660,8755,8630,8739,8635.2,8656,8770.45,8821.18,122389,127649,124543,-68.38,-60.32,-8.05,0.52,0.4,0.56,0.5,0.74
2011/3/4,8796,8800,8753,8761,8681.2,8669.6,8755.95,8824.75,83710,120691,120941,-56.37,-59.53,3.16,0.63,0.48,0.58,0.51,0.86
2011/3/7,8743,8762,8677,8721,8702.4,8660.8,8736.85,8826.47,108307,105155,119866,-50.2,-57.67,7.47,0.68,0.55,0.53,0.49,0.78
2011/3/8,8704,8758,8701,8740,8712.4,8653.9,8717.05,8828.33,77886,103769,119270,-43.63,-54.86,11.23,0.73,0.61,0.55,0.5,0.84
2011/3/9,8793,8798,8698,8758,8743.8,8667.7,8700,8829.38,101336,98726,114906,-36.53,-51.19,14.66,0.78,0.67,0.58,0.51,0.89
2011/3/10,8763,8763,8608,8623,8720.6,8677.9,8680.55,8827.88,140889,102426,115037,-38.43,-48.64,10.21,0.7,0.68,0.39,0.43,0.52
2011/3/11,8550,8574,8480,8559,8680.2,8680.7,8667.35,8825.53,129493,111582,116137,-48.35,-48.58,0.23,0.55,0.63,0.33,0.4,0.25
2011/3/14,8531,8568,8366,8504,8636.8,8669.6,8664.35,8820.8,171744,124270,114713,-60.16,-50.9,-9.27,0.47,0.58,0.29,0.38,0.32
2011/3/15,8531,8532,8026,8257,8540.2,8626.3,8644.95,8812.7,278523,164397,134083,-86.08,-57.93,-28.15,0.41,0.52,0.17,0.29,0.3
