Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91,Open2,High2,Low2,Close2,SMA52,SMA102,SMA202,SMA602,Volume2,MA52,MA102,DIF2,ACD92,OSC2,K2,D2,RSI62,RSI122,RSV92
2006/8/29,6450,6462,6421,6439,6472,6544.4,6519.15,6464.63,20856,36120,32668,5.92,22.1,-16.18,0.26,0.38,0.38,0.45,0.18,179,181.5,179,180.5,180,186.1,193.82,193.85,8801,9700,19601,-4.12,-1.81,-2.31,0.15,0.18,0.36,0.4,0.27,56.7,56.8,56.3,56.5,56.94,57.97,56.98,56.57,25772,29036,38393,0.32,0.45,-0.14,0.2,0.35,0.39,0.47,0.14
2006/8/30,6454,6585,6433,6563,6481.6,6531.5,6525.35,6464.42,42254,33635,35323,7.8,19.24,-11.44,0.35,0.37,0.58,0.54,0.55,182,186,182,184.5,180.9,182.45,193.38,193.59,14337,9192,17748,-3.99,-2.24,-1.75,0.29,0.22,0.47,0.44,0.55,57.4,57.8,57,57.3,56.78,57.8,57.1,56.52,26560,27946,35264,0.3,0.42,-0.12,0.24,0.32,0.51,0.52,0.32
2006/8/31,6585,6648,6580,6621,6502.8,6524.1,6536,6471.17,37036,34783,35893,15.69,18.53,-2.85,0.49,0.41,0.64,0.58,0.77,188,190,185.5,185.5,181.8,181.85,192.85,193.47,18522,11358,14556,-3.66,-2.53,-1.13,0.41,0.28,0.5,0.46,0.67,58.2,58.7,58,58.1,57.02,57.64,57.27,56.56,39871,28645,33100,0.35,0.41,-0.06,0.36,0.33,0.6,0.57,0.61
2006/9/1,6620,6648,6606,6646,6534.2,6518.9,6550,6475.68,19448,31656,36162,23.2,19.47,3.73,0.66,0.49,0.67,0.6,0.99,188,192.5,188,191,183.9,182.2,192.6,193.45,23965,14588,14129,-3.04,-2.63,-0.41,0.58,0.38,0.62,0.52,0.91,58.3,58.9,58.3,58.8,57.38,57.56,57.46,56.56,28851,29526,30276,0.43,0.41,0.02,0.56,0.41,0.67,0.61,0.97
2006/9/4,6691,6755,6688,6738,6601.4,6546.7,6569.4,6481.67,30208,29960,34037,36.26,22.83,13.44,0.76,0.58,0.75,0.65,0.96,196,204,195,200.5,188.4,184.35,192.93,193.57,27594,18644,14791,-1.77,-2.46,0.69,0.68,0.48,0.75,0.6,0.87,59.1,59.4,58.9,59.3,58,57.7,57.7,56.59,26587,29528,28798,0.53,0.44,0.09,0.7,0.51,0.71,0.63,0.97
2006/9/5,6738,6749,6712,6738,6661.2,6566.6,6581.25,6489.47,18901,29569,32845,46.44,27.55,18.89,0.82,0.66,0.75,0.65,0.95,200.5,201,197,198.5,192,186,193.05,193.64,15097,19903,14802,-0.85,-2.14,1.29,0.71,0.56,0.69,0.58,0.79,59.4,59.4,58.5,58.6,58.42,57.68,57.85,56.63,14895,27353,28194,0.56,0.46,0.1,0.72,0.58,0.59,0.58,0.77
2006/9/6,6727,6736,6603,6653,6679.2,6580.4,6584.9,6492.6,42708,29660,31648,48.06,31.65,16.41,0.79,0.71,0.57,0.57,0.73,196,200,196,196,194.3,187.6,192.9,193.64,15389,20113,14653,-0.26,-1.76,1.5,0.71,0.61,0.62,0.55,0.7,58.5,58.7,57.2,57.8,58.52,57.65,57.95,56.63,24843,27009,27478,0.51,0.47,0.04,0.66,0.61,0.47,0.52,0.54
2006/9/7,6615,6680,6582,6640,6683,6592.9,6589.15,6496.45,37185,29690,32236,46.73,34.67,12.07,0.76,0.72,0.54,0.56,0.69,192,195.5,191,194,196,188.9,192.35,193.53,18336,20076,15717,-0.07,-1.42,1.35,0.68,0.63,0.56,0.53,0.62,56.8,57.3,56.8,57.1,58.32,57.67,57.97,56.63,23156,23666,26156,0.4,0.46,-0.06,0.56,0.59,0.39,0.47,0.34
2006/9/8,6620,6699,6603,6696,6693,6613.6,6597.05,6498.38,36646,33130,32393,48.19,37.37,10.82,0.78,0.74,0.63,0.59,0.82,194,197.5,192.5,196.5,197.1,190.5,191.85,193.38,13089,17901,16244,0.25,-1.09,1.34,0.69,0.65,0.61,0.55,0.7,56.6,57.3,56.6,56.7,57.9,57.64,57.93,56.59,30453,23987,26756,0.29,0.42,-0.13,0.41,0.53,0.35,0.45,0.13
2006/9/11,6684,6810,6622,6648,6675,6638.2,6599.7,6499.6,53917,37871,33916,49.46,39.79,9.67,0.71,0.73,0.53,0.55,0.57,199,203.5,195,197,196.4,192.4,190.95,193.26,16613,15705,17174,0.69,-0.73,1.42,0.69,0.66,0.62,0.56,0.68,56.9,58,56.2,56.3,57.3,57.65,57.87,56.54,36124,25894,27711,0.19,0.38,-0.19,0.29,0.45,0.31,0.43,0.03
2006/9/12,6631,6678,6588,6588,6645,6653.1,6598.75,6503.42,36788,41449,35509,44.19,40.67,3.52,0.48,0.65,0.43,0.5,0.03,199.5,199.5,193,193,195.3,193.65,189.88,193.31,10199,14725,17314,0.75,-0.43,1.19,0.59,0.64,0.49,0.51,0.41,56.5,57.1,56.2,56.7,56.92,57.67,57.82,56.57,28382,28592,27972,0.11,0.32,-0.22,0.24,0.38,0.39,0.46,0.16
2006/9/13,6651,6670,6606,6644,6643.2,6661.2,6596.35,6508.88,31146,39136,34398,41.99,40.93,1.05,0.41,0.57,0.53,0.54,0.27,197,197.5,193.5,196,195.3,194.8,188.63,193.41,10505,13748,16931,0.88,-0.17,1.05,0.56,0.61,0.57,0.54,0.5,57.8,58.4,57.6,58.4,57.04,57.78,57.79,56.62,44704,32564,29787,0.16,0.29,-0.13,0.39,0.38,0.62,0.57,0.69
2006/9/14,6650,6689,6504,6579,6631,6657,6590.55,6511.37,57041,43108,36399,35.53,39.85,-4.32,0.36,0.5,0.42,0.49,0.25,197,199,193,195,195.5,195.75,188.8,193.35,10461,12173,16125,0.95,0.05,0.89,0.48,0.57,0.54,0.53,0.31,59,59,57.6,58.4,57.3,57.81,57.73,56.63,40242,35981,29824,0.22,0.27,-0.06,0.49,0.42,0.62,0.57,0.69
2006/9/15,6597,6675,6554,6669,6625.6,6659.3,6589.1,6516.23,40687,43916,38523,34.38,38.76,-4.38,0.42,0.47,0.57,0.56,0.54,195,198,193,198,195.8,196.45,189.32,193.37,7826,11121,14511,1.09,0.26,0.83,0.5,0.55,0.62,0.56,0.56,58.5,59,58.2,59,57.76,57.83,57.7,56.67,41982,38287,31137,0.29,0.28,0.01,0.62,0.49,0.68,0.6,0.88
